rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Justyna, かとかい, 팬텀 볼트, Defense, 20, 16, 16, 8, 7, 65, , 45934309, Toddler Gangster
1, 20, Nadine, Meltt, 혈색반월, Defense, 20, 16, 16, 7, 8, 67, , 45934309, Toddler Gangster
1, 20, Lenox, ニッキーブレーク, 글레이프니르, Defense, 19, 16, 16, 1, 13, 30, , 45934309, Toddler Gangster
2, 19, Eleven, ドンブレ, 천근추, Defense, 18, 12, 12, 1, 7, 19, かとかい, 45934309, トム_
2, 20, Adina, ハッピー天月, 더문, Defense, 20, 12, 12, 7, 5, 57, Meltt, 45934309, トム_
2, 20, Aya, とんとジェニー, 헬파이어, Defense, 20, 12, 12, 4, 6, 43, かとかい, 45934309, トム_
3, 19, Echion, sino1012, 블랙맘바킹-TL, Defense, 18, 6, 6, 0, 5, 16, ハッピー天月, 45934309, TBD
3, 20, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 19, 6, 6, 4, 2, 60, かとかい, 45934309, TBD
3, 19, LiDailin, Hyouya, 블러디핸즈, Defense, 18, 6, 6, 2, 3, 48, かとかい, 45934309, TBD
4, 18, Hart, ZEKURIP, 더월, Defense, 18, 8, 8, 3, 3, 24, とんとジェニー, 45934309, チクチク梅
4, 19, Hisui, 無双, 빛의검, Defense, 18, 8, 8, 3, 2, 42, ハッピー天月, 45934309, チクチク梅
4, 20, Emma, レイライン, 생사부, Defense, 19, 8, 8, 2, 4, 52, ハッピー天月, 45934309, チクチク梅
5, 19, Alex, えすみす, 플라즈마톤파, Defense, 18, 6, 6, 1, 3, 22, ニッキーブレーク, 45934309, エステル世界2位ぶにゃ
5, 19, Irem, catsR, 점착폭탄, Defense, 18, 6, 6, 2, 4, 32, かとかい, 45934309, エステル世界2位ぶにゃ
5, 19, Piolo, voider26, 대소반룡곤, Defense, 18, 6, 6, 3, 2, 38, かとかい, 45934309, エステル世界2位ぶにゃ
6, 17, Felix, たまねぎ2nd, 애각창, Defense, 16, 4, 4, 1, 3, 50, Hyouya, 45934309, NotBeingAll
6, 17, Mai, upalupa, 글레이프니르, Defense, 16, 4, 4, 1, 2, 25, れもんだもん, 45934309, NotBeingAll
6, 17, Priya, sLLLime, 헤븐즈도어, Defense, 18, 4, 4, 2, 2, 42, とんとジェニー, 45934309, NotBeingAll
7, 17, Katja, peporen, 폴라리스, Defense, 16, 3, 3, 1, 1, 40, レイライン, 45934309, 聖帝十字陵
7, 16, Alonso, sukopi, 아이언피스트, Defense, 15, 3, 3, 0, 2, 12, Meltt, 45934309, 聖帝十字陵
7, 17, Haze, 駅弁mk, 발키리, Defense, 16, 3, 3, 2, 1, 40, Meltt, 45934309, 聖帝十字陵
8, 16, Sissela, 漁夫カルマ, 루테늄구슬, Defense, 15, 3, 3, 1, 2, 12, ドンブレ, 45934309, 舞野組
8, 15, Rio, 舞野, 트윈보우, Defense, 15, 3, 3, 2, 1, 28, ハッピー天月, 45934309, 舞野組
8, 15, Charlotte, DEKABIGUNO, 절제, Defense, 12, 3, 3, 0, 3, 7, とんとジェニー, 45934309, 舞野組
