rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Lenore, かとかい, 헤븐즈도어, Defense, 20, 11, 11, 4, 6, 74, , 45931737, Toddler Gangster
1, 20, Estelle, ニッキーブレーク, 빔엑스, Defense, 20, 11, 11, 1, 9, 21, , 45931737, Toddler Gangster
1, 20, Rio, Meltt, 페일노트-진홍, Defense, 20, 11, 11, 6, 5, 98, , 45931737, Toddler Gangster
2, 20, Theodore, ZEKURIP, 위도우 메이커-새벽, Defense, 20, 14, 14, 4, 8, 35, Meltt, 45931737, チクチク梅
2, 20, LiDailin, レイライン, 천잠장갑, Defense, 20, 14, 14, 6, 8, 52, かとかい, 45931737, チクチク梅
2, 20, Hisui, 無双, 빛의검, Defense, 20, 14, 14, 4, 8, 63, Meltt, 45931737, チクチク梅
3, 19, Mai, upalupa, 글레이프니르, Defense, 17, 7, 7, 0, 6, 15, ニッキーブレーク, 45931737, NotBeingAll
3, 19, Emma, 灯油, 건곤권, Defense, 19, 7, 7, 4, 2, 51, かとかい, 45931737, NotBeingAll
3, 20, Rio, sLLLime, 적궁백시, Defense, 20, 7, 7, 3, 4, 51, Meltt, 45931737, NotBeingAll
4, 18, Eleven, Hyouya, 천근추, Defense, 16, 4, 4, 2, 1, 21, Meltt, 45931737, TBD
4, 18, Vanya, sino1012, 여제, Defense, 17, 4, 4, 1, 3, 54, かとかい, 45931737, TBD
4, 19, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 18, 4, 4, 1, 1, 48, 灯油, 45931737, TBD
5, 20, Celine, 駅弁mk, 여의주, Hunt, 19, 1, 1, 1, 0, 52, レイライン, 45931737, 聖帝十字陵
5, 19, Alonso, sukopi, 아이언피스트, Defense, 18, 1, 1, 0, 1, 24, ZEKURIP, 45931737, 聖帝十字陵
5, 19, Priya, じゃっきーらぶ, 헤븐즈도어, Defense, 18, 1, 1, 0, 1, 39, ZEKURIP, 45931737, 聖帝十字陵
6, 18, Charlotte, DEKABIGUNO, 절제, Defense, 17, 4, 4, 1, 3, 12, 灯油, 45931737, 舞野組
6, 19, Hart, 舞野, 원더풀투나잇, Defense, 18, 4, 4, 2, 2, 51, 無双, 45931737, 舞野組
6, 18, Sissela, 漁夫カルマ, 체이서-새벽, Defense, 18, 4, 4, 1, 3, 13, レイライン, 45931737, 舞野組
7, 18, Hart, ハッピー天月, 원더풀투나잇, Defense, 18, 3, 3, 3, 0, 43, sLLLime, 45931737, トム_
7, 19, Jenny, とんとジェニー, 알타이르, Defense, 18, 3, 3, 0, 2, 56, sLLLime, 45931737, トム_
7, 18, Yuki, ドンブレ, 아론다이트, Defense, 17, 3, 3, 0, 2, 13, 灯油, 45931737, トム_
8, 15, Irem, catsR, 점착폭탄, Defense, 14, 2, 2, 0, 2, 28, レイライン, 45931737, エステル世界2位ぶにゃ
8, 15, Alonso, voider26, 디바인피스트, Defense, 13, 2, 2, 1, 1, 7, 無双, 45931737, エステル世界2位ぶにゃ
8, 16, Celine, vaqlas, 여의주, Defense, 15, 2, 2, 1, 1, 41, レイライン, 45931737, エステル世界2位ぶにゃ
