rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Sua, 葉月千悠, 로드 오브 하트-새벽, Defense, 20, 15, 15, 10, 2, 0, 3, 0, 6, 7, 58, , 48999317, ちねりっぷるん, 24, 10, 14
1, 20, Hart, 水無れき, 하트 브레이커-진홍, Defense, 20, 15, 15, 10, 2, 0, 3, 0, 7, 7, 75, , 48999317, ちねりっぷるん, 24, 10, 14
1, 20, Darko, おぼろづき米, 로드 오브 하트-진홍, Defense, 19, 15, 15, 10, 2, 0, 3, 0, 2, 8, 52, , 48999317, ちねりっぷるん, 24, 10, 14
2, 20, Darko, REIA778, 여의봉, Defense, 19, 7, 7, 6, 1, 0, 0, 0, 1, 5, 40, 水無れき, 48999317, Marine Delight, 13.5, 7, 6.5
2, 20, Lyanh, デスガキ, 소울리퍼, Defense, 19, 7, 7, 6, 1, 0, 0, 0, 4, 2, 47, 水無れき, 48999317, Marine Delight, 13.5, 7, 6.5
2, 20, Laura, berryrabbit, 혈화구절편-새벽, Defense, 20, 7, 7, 6, 1, 0, 0, 0, 2, 4, 53, 葉月千悠, 48999317, Marine Delight, 13.5, 7, 6.5
3, 20, Silvia, 444PROJECTILES, 마탄의사수, Defense, 19, 2, 2, 0, 1, 0, 1, 0, 1, 1, 52, デスガキ, 48999317, 伝説上の生物中西, 6.5, 5, 1.5
3, 20, Yuki, LORDofVERMILION, 자웅일대검, Hunt, 19, 2, 2, 0, 1, 0, 1, 0, 0, 1, 69, デスガキ, 48999317, 伝説上の生物中西, 6.5, 5, 1.5
3, 20, Chloe, サーモン中西, 만천화우, Defense, 19, 2, 2, 0, 1, 0, 1, 0, 1, 1, 51, berryrabbit, 48999317, 伝説上の生物中西, 6.5, 5, 1.5
4, 19, Hisui, 御存知ムエタイ, 빛의검, Defense, 18, 11, 11, 6, 2, 0, 3, 0, 4, 4, 53, デスガキ, 48999317, Infinity Edge, 14, 4, 10
4, 19, Yuki, Rikky, 엑스칼리버, Defense, 18, 11, 11, 6, 2, 0, 3, 0, 2, 9, 16, REIA778, 48999317, Infinity Edge, 14, 4, 10
4, 18, Hyejin, YoNeaKy, 생사부, Defense, 18, 11, 11, 6, 2, 0, 3, 0, 5, 5, 36, berryrabbit, 48999317, Infinity Edge, 14, 4, 10
5, 18, Abigail, ヴィルヴィ, 빔엑스, Defense, 17, 5, 5, 2, 0, 0, 3, 0, 2, 3, 49, YoNeaKy, 48999317, 拳褌軼敵, 8, 3, 5
5, 19, Jan, C4storice, 천잠장갑, Defense, 18, 5, 5, 2, 0, 0, 3, 0, 1, 4, 69, 水無れき, 48999317, 拳褌軼敵, 8, 3, 5
5, 17, Vanya, Bluewings, 여제, Defense, 17, 5, 5, 2, 0, 0, 3, 0, 2, 3, 39, 葉月千悠, 48999317, 拳褌軼敵, 8, 3, 5
6, 17, Markus, レイ様, 산타무에르떼, Defense, 15, 3, 3, 0, 0, 0, 3, 0, 0, 2, 29, おぼろづき米, 48999317, たかし is GOD, 5, 2, 3
6, 15, Kenneth, お豆腐の匠, 반고부, Defense, 12, 3, 3, 0, 0, 0, 3, 0, 0, 2, 25, 水無れき, 48999317, たかし is GOD, 5, 2, 3
6, 16, Shoichi, たまこん, 파산검, Defense, 15, 3, 3, 0, 0, 0, 3, 0, 3, 0, 32, 水無れき, 48999317, たかし is GOD, 5, 2, 3
7, 12, Emma, えすみす, 풍마수리검, Defense, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, ヴィルヴィ, 48999317, もんげ〜, 1, 1, 0
7, 11, Nathapon, Natupon, 폴라로이드카메라, Defense, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, C4storice, 48999317, もんげ〜, 1, 1, 0
7, 12, Nicky, peporen, 아이언피스트, Defense, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 水無れき, 48999317, もんげ〜, 1, 1, 0
