rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 19, Charlotte, 만년광물, 더썬, Defense, 18, 10, 13, 10, 0, 0, 0, 0, 1, 9, 16, , 48097048, LUMIで来た, 20, 10, 10
1, 20, Jenny, 前ブリンクうまお, 하이눈, Defense, 20, 10, 13, 10, 0, 0, 0, 0, 5, 5, 90, , 48097048, LUMIで来た, 20, 10, 10
1, 20, Chiara, モコー, 아르고스의눈, Defense, 19, 10, 13, 10, 0, 0, 0, 0, 4, 4, 37, , 48097048, LUMIで来た, 20, 10, 10
2, 20, Elena, HeianKYO, 미스틸테인, Defense, 20, 9, 9, 5, 2, 0, 2, 0, 0, 9, 52, モコー, 48097048, †神縫合†, 15, 7, 8
2, 20, Jenny, kawaiiOTP, 알타이르, Defense, 20, 9, 9, 5, 2, 0, 2, 0, 2, 5, 69, 前ブリンクうまお, 48097048, †神縫合†, 15, 7, 8
2, 19, Chloe, rosen, 플레솃, Defense, 19, 9, 9, 5, 2, 0, 2, 0, 7, 1, 42, 前ブリンクうまお, 48097048, †神縫合†, 15, 7, 8
3, 18, Darko, レヴナ, 여의봉, Defense, 17, 4, 4, 3, 0, 0, 1, 0, 3, 1, 46, 前ブリンクうまお, 48097048, Toddler Ghost, 9, 5, 4
3, 19, Elena, 冷害, 활빈검, Defense, 18, 4, 4, 3, 0, 0, 1, 0, 0, 4, 51, モコー, 48097048, Toddler Ghost, 9, 5, 4
3, 18, Hart, CiELzzz, 프리버드, Defense, 17, 4, 4, 3, 0, 0, 1, 0, 1, 2, 55, 前ブリンクうまお, 48097048, Toddler Ghost, 9, 5, 4
4, 18, Mai, 葉月千悠, 글레이프니르, Defense, 17, 5, 5, 4, 0, 0, 1, 0, 0, 4, 27, , 48097048, ちねりっぷるん, 9, 4, 5
4, 19, Katja, 水無れき, 폴라리스, Hunt, 19, 5, 5, 4, 0, 0, 1, 0, 3, 1, 60, , 48097048, ちねりっぷるん, 9, 4, 5
4, 18, Arda, あっぷるん, 더 데스-진홍, Defense, 18, 5, 5, 4, 0, 0, 1, 0, 2, 2, 32, , 48097048, ちねりっぷるん, 9, 4, 5
5, 19, Lenox, アルペジオ, 사복검, Defense, 17, 3, 3, 1, 2, 0, 0, 0, 3, 0, 27, rosen, 48097048, 好きな素材発表ドラゴン, 5, 3, 2
5, 19, Tia, Flow, 터럭손방망이, Defense, 18, 3, 3, 1, 2, 0, 0, 0, 0, 3, 46, 水無れき, 48097048, 好きな素材発表ドラゴン, 5, 3, 2
5, 19, Isol, 義妹, 알타이르, Defense, 18, 3, 3, 1, 2, 0, 0, 0, 0, 3, 39, 만년광물, 48097048, 好きな素材発表ドラゴン, 5, 3, 2
6, 20, Sua, うぇびー, 마법봉, Defense, 20, 4, 4, 0, 1, 0, 3, 0, 1, 2, 67, kawaiiOTP, 48097048, Toddler Vivid, 5.5, 2, 3.5
6, 20, Jenny, Pororoca, 알타이르, Hunt, 19, 4, 4, 0, 1, 0, 3, 0, 1, 2, 54, kawaiiOTP, 48097048, Toddler Vivid, 5.5, 2, 3.5
6, 20, Markus, さすらいぱんだ, 반고부, Defense, 19, 4, 4, 0, 1, 0, 3, 0, 2, 0, 40, rosen, 48097048, Toddler Vivid, 5.5, 2, 3.5
7, 14, Kenneth, お豆腐の匠, 하르페, Defense, 13, 7, 7, 3, 3, 0, 1, 0, 1, 3, 27, 水無れき, 48097048, たかし, 6.5, 1, 5.5
7, 14, Hart, たまこん, 더월, Defense, 13, 7, 7, 3, 3, 0, 1, 0, 3, 3, 23, あっぷるん, 48097048, たかし, 6.5, 1, 5.5
7, 14, Darko, レイ様, 구원의여신상, Defense, 13, 7, 7, 3, 3, 0, 1, 0, 3, 1, 15, 水無れき, 48097048, たかし, 6.5, 1, 5.5
8, 12, Markus, C4storice, 산타무에르떼, Defense, 10, 2, 2, 0, 1, 0, 1, 0, 1, 1, 22, お豆腐の匠, 48097048, ツェアライセン, 1.5, 0, 1.5
8, 12, Priya, YoNeaKy, 퍼플헤이즈, Defense, 10, 2, 2, 0, 1, 0, 1, 0, 0, 2, 23, レイ様, 48097048, ツェアライセン, 1.5, 0, 1.5
8, 11, William, ぷれこーーーーる, 다비드슬링, Defense, 10, 2, 2, 0, 1, 0, 1, 0, 1, 1, 23, レイ様, 48097048, ツェアライセン, 1.5, 0, 1.5
