rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 19, DebiMarlene, Latesummerr, 레바테인, Defense, 18, 12, 12, 11, 1, 0, 0, 0, 1, 8, 39, , 48887449, 佐川大根, 21.5, 10, 11.5
1, 19, Rio, PecoMizuki, 페일노트-진홍, Defense, 20, 12, 12, 11, 1, 0, 0, 0, 8, 3, 68, , 48887449, 佐川大根, 21.5, 10, 11.5
1, 20, Lenox, Flere210, 사복검, Defense, 19, 12, 12, 11, 1, 0, 0, 0, 3, 3, 24, , 48887449, 佐川大根, 21.5, 10, 11.5
2, 19, Katja, LxN, 인터벤션, Hunt, 19, 1, 1, 0, 0, 0, 1, 0, 1, 0, 58, Flere210, 48887449, たこ焼き, 8, 7, 1
2, 20, Darko, チクタク, 여의봉, Defense, 19, 1, 1, 0, 0, 0, 1, 0, 0, 0, 44, PecoMizuki, 48887449, たこ焼き, 8, 7, 1
2, 19, Chiara, かめちゃ, 아르고스의눈, Defense, 19, 1, 1, 0, 0, 0, 1, 0, 0, 0, 44, Flere210, 48887449, たこ焼き, 8, 7, 1
3, 19, Sua, kur1ch4n, 개밥바라기, Defense, 20, 13, 13, 13, 0, 0, 0, 0, 6, 6, 69, neer, 48887449, 私とりんご穏健派, 18, 5, 13
3, 18, Charlotte, PYP, 더썬, Defense, 17, 13, 13, 13, 0, 0, 0, 0, 1, 7, 21, PecoMizuki, 48887449, 私とりんご穏健派, 18, 5, 13
3, 19, Tazia, hato88, 흑련비표-새벽, Defense, 20, 13, 13, 13, 0, 0, 0, 0, 6, 6, 44, PecoMizuki, 48887449, 私とりんご穏健派, 18, 5, 13
4, 17, Hart, guppy63, 하트 브레이커-진홍, Defense, 17, 3, 3, 0, 3, 0, 0, 0, 1, 2, 47, PecoMizuki, 48887449, 最強★Love & Peace, 5.5, 4, 1.5
4, 17, Mai, chainin, 뇌룡편, Defense, 16, 3, 3, 0, 3, 0, 0, 0, 0, 3, 20, hato88, 48887449, 最強★Love & Peace, 5.5, 4, 1.5
4, 18, Camilo, Atato, 디오스쿠로이, Defense, 17, 3, 3, 0, 3, 0, 0, 0, 2, 1, 34, PYP, 48887449, 最強★Love & Peace, 5.5, 4, 1.5
5, 18, Tia, neer, 터럭손방망이, Defense, 18, 8, 8, 4, 2, 0, 2, 0, 3, 4, 37, Latesummerr, 48887449, ルミア島リサーチセンター, 10, 3, 7
5, 18, Bernice, rauz, 안드로메다, Defense, 18, 8, 8, 4, 2, 0, 2, 0, 3, 5, 56, hato88, 48887449, ルミア島リサーチセンター, 10, 3, 7
5, 18, Eleven, ハクレイ, 뿅망치, Defense, 17, 8, 8, 4, 2, 0, 2, 0, 2, 5, 30, PecoMizuki, 48887449, ルミア島リサーチセンター, 10, 3, 7
6, 17, Haze, makobi, 헬파이어-새벽, Defense, 17, 6, 6, 0, 2, 0, 4, 0, 0, 3, 52, hato88, 48887449, AYDEN杯二次会組, 7, 2, 5
6, 17, Darko, 暴言は敗北を招く, 구원의여신상, Defense, 17, 6, 6, 0, 2, 0, 4, 0, 1, 3, 15, kur1ch4n, 48887449, AYDEN杯二次会組, 7, 2, 5
6, 17, LiDailin, 二寸法師, 천잠장갑, Defense, 17, 6, 6, 0, 2, 0, 4, 0, 5, 1, 38, hato88, 48887449, AYDEN杯二次会組, 7, 2, 5
7, 16, Justyna, azazazazazazazaz, 팬텀 볼트, Defense, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, kur1ch4n, 48887449, ルミネスター, 1, 1, 0
7, 17, Mai, Mimoria, 뇌룡편, Defense, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, PecoMizuki, 48887449, ルミネスター, 1, 1, 0
7, 16, Katja, まいめろでぃー, 인터벤션, Defense, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, ハクレイ, 48887449, ルミネスター, 1, 1, 0
8, 16, Johann, 義妹, 절제, Defense, 14, 3, 3, 0, 1, 0, 2, 0, 1, 2, 13, hato88, 48887449, シャルティメットストーム, 2.5, 0, 2.5
8, 16, Hisui, ここかな, 빛의검, Defense, 16, 3, 3, 0, 1, 0, 2, 0, 2, 1, 49, kur1ch4n, 48887449, シャルティメットストーム, 2.5, 0, 2.5
8, 16, Estelle, SSPotato, 빔엑스, Defense, 14, 3, 3, 0, 1, 0, 2, 0, 0, 3, 14, hato88, 48887449, シャルティメットストーム, 2.5, 0, 2.5
