rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Felix, たまねぎ2nd, 롱기누스의 창-진홍, Defense, 20, 18, 19, 12, 6, 63, , 45808531, NotBeingAll
1, 20, Mai, upalupa, 우라누스, Defense, 19, 18, 19, 4, 13, 25, , 45808531, NotBeingAll
1, 20, Priya, sLLLime, 헤븐즈도어, Defense, 20, 18, 19, 2, 15, 44, , 45808531, NotBeingAll
2, 20, Camilo, らいらい, 자웅일대검, Defense, 20, 7, 7, 6, 1, 42, たまねぎ2nd, 45808531, いなずまっ！
2, 20, Echion, OISIIPROTEIN, 블랙맘바킹-TL, Defense, 19, 7, 7, 0, 7, 22, upalupa, 45808531, いなずまっ！
2, 20, Jenny, かっと, 알타이르, Defense, 19, 7, 7, 1, 5, 31, たまねぎ2nd, 45808531, いなずまっ！
3, 20, Nadine, IREMKING, 대황, Defense, 20, 5, 5, 2, 3, 48, らいらい, 45808531, Brainstorm
3, 20, Elena, HeianKYO, 레드팬서, Defense, 19, 5, 5, 1, 4, 36, かっと, 45808531, Brainstorm
3, 19, Darko, コレマサ, 여의봉, Defense, 19, 5, 5, 2, 2, 40, らいらい, 45808531, Brainstorm
4, 19, Theodore, Prushka, 데드아이, Defense, 18, 8, 8, 3, 5, 29, たまねぎ2nd, 45808531, Toddler Gangster
4, 18, Mai, ニッキーブレーク, 글레이프니르, Defense, 17, 8, 8, 0, 6, 22, たまねぎ2nd, 45808531, Toddler Gangster
4, 19, Nadine, Meltt, 대황, Defense, 19, 8, 8, 5, 3, 49, sLLLime, 45808531, Toddler Gangster
5, 20, Hyunwoo, catsR, 주작자문, Defense, 20, 8, 8, 4, 1, 56, IREMKING, 45808531, エステル世界2位ぶにゃ
5, 20, DebiMarlene, えすみす, 레바테인, Defense, 19, 8, 8, 0, 5, 35, IREMKING, 45808531, エステル世界2位ぶにゃ
5, 20, Piolo, voider26, 히드라-새벽, Defense, 20, 8, 8, 4, 4, 49, HeianKYO, 45808531, エステル世界2位ぶにゃ
6, 18, Karla, さすらいぱんだ, 혈색반월, Hunt, 18, 6, 6, 0, 5, 65, Prushka, 45808531, Toddler Vivid
6, 18, Mai, yasuoぼっと, 뇌룡편, Defense, 17, 6, 6, 3, 2, 18, らいらい, 45808531, Toddler Vivid
6, 19, Rio, Pororoca, 적궁백시, Defense, 18, 6, 6, 3, 3, 49, Meltt, 45808531, Toddler Vivid
7, 18, Nicky, Tnsh, 아이언피스트, Defense, 17, 4, 4, 0, 2, 17, たまねぎ2nd, 45808531, Forsen
7, 19, Arda, Gyoo, 더문, Defense, 18, 4, 4, 2, 2, 42, たまねぎ2nd, 45808531, Forsen
7, 18, Nathapon, Alek, 울트라비전, Defense, 18, 4, 4, 2, 2, 46, たまねぎ2nd, 45808531, Forsen
8, 16, Celine, PuffingCat, 루테늄구슬, Defense, 16, 1, 1, 0, 1, 41, upalupa, 45808531, インペリアルマンモス
8, 15, Garnet, MERCURYCUBE, 스파이의우산, Defense, 13, 1, 1, 0, 1, 17, Meltt, 45808531, インペリアルマンモス
8, 15, Bernice, spadeokayu, 폴라리스, Defense, 14, 1, 1, 1, 0, 21, , 45808531, インペリアルマンモス
