rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Martina, えすみす, 비전 플렉스-진홍, Defense, 20, 16, 17, 15, 2, 8, 6, 47, , 47271960, Bunya
1, 20, Irem, catsR, 체이서, Defense, 20, 16, 17, 15, 2, 3, 10, 62, , 47271960, Bunya
1, 20, LiDailin, voider26, 주작자문, Defense, 20, 16, 17, 15, 2, 5, 10, 26, , 47271960, Bunya
2, 19, Hart, ハッピー天月, 하트 브레이커-진홍, Defense, 19, 12, 12, 5, 7, 5, 5, 63, voider26, 47271960, Out of Control
2, 20, Camilo, らいらい, 간장과막야, Defense, 20, 12, 12, 5, 7, 6, 5, 65, voider26, 47271960, Out of Control
2, 20, Echion, い力, 블랙맘바킹-TL, Defense, 20, 12, 12, 5, 7, 1, 9, 36, えすみす, 47271960, Out of Control
3, 20, Elena, Tnsh, 활빈검, Defense, 20, 6, 6, 4, 2, 0, 6, 30, えすみす, 47271960, Forsen
3, 20, Katja, Alek, 위도우메이커, Defense, 20, 6, 6, 4, 2, 2, 4, 97, voider26, 47271960, Forsen
3, 20, Sua, Gyoo, 터럭손방망이, Defense, 20, 6, 6, 4, 2, 4, 2, 37, えすみす, 47271960, Forsen
4, 19, Lyanh, thato, 마하라자, Defense, 18, 7, 7, 4, 3, 0, 4, 53, えすみす, 47271960, CROSSOVER
4, 19, Luke, べんとりっく, 여의봉, Defense, 19, 7, 7, 4, 3, 4, 2, 43, Alek, 47271960, CROSSOVER
4, 18, Hisui, kemiko, 빛의검, Defense, 19, 7, 7, 4, 3, 3, 3, 64, , 47271960, CROSSOVER
5, 18, Nathapon, 松マキサ, 울트라비전, Defense, 18, 10, 10, 9, 1, 3, 6, 50, べんとりっく, 47271960, SCB
5, 19, Markus, LegendOfLeague, 반고부, Defense, 18, 10, 10, 9, 1, 2, 5, 27, べんとりっく, 47271960, SCB
5, 19, YuMin, akihisa, 여제, Defense, 19, 10, 10, 9, 1, 5, 5, 65, べんとりっく, 47271960, SCB
6, 18, Rozzi, ZEKURIP, 하이눈, Defense, 18, 14, 14, 5, 9, 9, 5, 41, voider26, 47271960, チクチク梅
6, 17, Elena, レイライン, 활빈검, Defense, 17, 14, 14, 5, 9, 0, 9, 17, えすみす, 47271960, チクチク梅
6, 18, Hisui, 無双, 빛의검, Defense, 18, 14, 14, 5, 9, 5, 7, 30, えすみす, 47271960, チクチク梅
7, 17, Karla, Prushka, 포이즌드크로스보우, Hunt, 17, 6, 6, 1, 5, 1, 5, 48, akihisa, 47271960, Toddler Gangster
7, 17, Mai, ニッキーブレーク, 뇌룡편, Defense, 16, 6, 6, 1, 5, 2, 4, 13, 松マキサ, 47271960, Toddler Gangster
7, 17, Nadine, Meltt, 대황, Defense, 17, 6, 6, 1, 5, 3, 3, 36, akihisa, 47271960, Toddler Gangster
8, 14, Vanya, sino1012, 더문, Defense, 14, 10, 10, 1, 9, 8, 2, 13, 松マキサ, 47271960, らむだ
8, 13, Adina, Rirolu, 더스타, Defense, 13, 10, 10, 1, 9, 1, 8, 23, akihisa, 47271960, らむだ
8, 13, Charlotte, れもんだもん, 절제, Defense, 11, 10, 10, 1, 9, 1, 7, 9, akihisa, 47271960, らむだ
