rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Elena, 冷害, 활빈검, Defense, 19, 17, 17, 14, 3, 1, 13, 43, , 46824775, Toddler Ghost
1, 20, Hart, CiELzzz, 하트 브레이커-진홍, Defense, 20, 17, 17, 14, 3, 8, 9, 64, , 46824775, Toddler Ghost
1, 19, Darko, レヴナ, 여의봉, Defense, 19, 17, 17, 14, 3, 8, 3, 33, , 46824775, Toddler Ghost
2, 20, Jan, Sharp3, 천잠장갑, Defense, 20, 10, 10, 7, 3, 2, 7, 39, レヴナ, 46824775, ぷちぷちおみせっち
2, 20, Nathapon, Natupon, 비전 플렉스-새벽, Defense, 20, 10, 10, 7, 3, 6, 4, 42, CiELzzz, 46824775, ぷちぷちおみせっち
2, 20, Bernice, LeetPhilia, 위도우메이커, Defense, 20, 10, 10, 7, 3, 2, 7, 64, レヴナ, 46824775, ぷちぷちおみせっち
3, 20, Markus, taiga7810, 뿅망치, Defense, 18, 2, 2, 1, 1, 0, 2, 24, レヴナ, 46824775, CR霧雨2nd
3, 20, Irem, catsR, 여의주, Hunt, 20, 2, 2, 1, 1, 0, 2, 56, CiELzzz, 46824775, CR霧雨2nd
3, 20, Sissela, kirisamefirst, 생사부, Defense, 20, 2, 2, 1, 1, 2, 0, 47, 冷害, 46824775, CR霧雨2nd
4, 19, Estelle, レイ様, 빔엑스, Defense, 18, 4, 4, 1, 3, 0, 4, 27, レヴナ, 46824775, たかぴ
4, 19, Theodore, お豆腐の匠, 데드아이, Defense, 19, 4, 4, 1, 3, 1, 3, 57, CiELzzz, 46824775, たかぴ
4, 19, Katja, 10p, 폴라리스, Defense, 19, 4, 4, 1, 3, 3, 1, 52, CiELzzz, 46824775, たかぴ
5, 17, Johann, うぃくらいん, 절제, Defense, 17, 8, 8, 6, 2, 0, 7, 28, kirisamefirst, 46824775, ほーんてっどまんしょん
5, 19, Bernice, Dorago, 안드로메다, Hunt, 19, 8, 8, 6, 2, 6, 2, 71, Natupon, 46824775, ほーんてっどまんしょん
5, 20, Chiara, OISIIPROTEIN, 아르고스의눈, Defense, 19, 8, 8, 6, 2, 2, 6, 48, LeetPhilia, 46824775, ほーんてっどまんしょん
6, 17, Leon, yasakaF, 프로스트팽, Defense, 16, 4, 4, 1, 3, 2, 0, 30, CiELzzz, 46824775, あいらいどふぁいたーず
6, 16, Hisui, Pommmmm, 빛의검, Defense, 16, 4, 4, 1, 3, 1, 1, 33, レヴナ, 46824775, あいらいどふぁいたーず
6, 16, Laura, poppoppoo, 우라누스, Defense, 16, 4, 4, 1, 3, 1, 3, 29, レヴナ, 46824775, あいらいどふぁいたーず
7, 16, Rio, Pororoca, 트윈보우, Hunt, 16, 0, 0, 0, 0, 0, 0, 59, Sharp3, 46824775, Toddler Vivid
7, 16, Sua, うぇびー, 둠스데이, Defense, 15, 0, 0, 0, 0, 0, 0, 30, LeetPhilia, 46824775, Toddler Vivid
7, 15, Johann, さすらいぱんだ, 더썬, Defense, 14, 0, 0, 0, 0, 0, 0, 13, Natupon, 46824775, Toddler Vivid
8, 16, Aiden, 青柳, 모노호시자오, Defense, 15, 5, 5, 0, 5, 2, 2, 28, Dorago, 46824775, はいどろ2000
8, 15, Justyna, Pea72, 팬텀 볼트, Defense, 15, 5, 5, 0, 5, 3, 1, 35, レヴナ, 46824775, はいどろ2000
8, 14, Eleven, Levia4, 다그다의망치, Defense, 13, 5, 5, 0, 5, 0, 3, 8, CiELzzz, 46824775, はいどろ2000
