Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
うぇびー,Sua / Felix,4,25.0,30,7.5,3.5,48.25,18.25
さすらいぱんだ,Johann / Silvia,4,25.0,30,7.5,3.5,30.75,17.75
Pororoca,Rio,2,50.0,8,4.0,4.0,68.0,18.0
Pea72,Justyna / Tia,4,25.0,31,7.75,4.5,53.25,17.5
青柳,Aiden,4,25.0,31,7.75,4.5,57.0,17.5
Levia4,Eleven,4,25.0,31,7.75,4.5,14.5,16.25
レイ様,Estelle / Eleven,4,0.0,15,3.75,5.0,18.75,17.0
お豆腐の匠,Theodore,4,0.0,15,3.75,5.0,51.75,18.0
10p,Sua / Katja,4,0.0,15,3.75,5.0,47.25,18.25
冷害,Elena,4,25.0,35,8.75,3.25,36.0,17.5
レヴナ,Darko,4,25.0,35,8.75,3.25,34.75,17.5
CiELzzz,Hart,4,25.0,35,8.75,3.25,51.75,19.0
poppoppoo,Karla / Laura / Adina / Celine,4,0.0,10,2.5,5.25,33.25,16.5
Pommmmm,Lenox / Hisui / Katja / Mai,4,0.0,10,2.5,5.25,27.75,15.75
yasakaF,Leon / Estelle / Jan,4,0.0,10,2.5,5.25,27.25,16.5
OISIIPROTEIN,Chiara,4,25.0,33,8.25,4.0,45.5,18.75
Dorago,Bernice,4,25.0,33,8.25,4.0,77.75,19.5
うぃくらいん,Johann,4,25.0,33,8.25,4.0,21.75,17.75
catsR,Irem,4,0.0,18,4.5,5.5,58.5,18.75
kirisamefirst,Sissela,4,0.0,18,4.5,5.5,44.25,19.25
taiga7810,Markus,4,0.0,18,4.5,5.5,22.5,17.75
Natupon,Nathapon / Leni,4,0.0,36,9.0,5.0,28.0,16.75
Sharp3,Jan,4,0.0,36,9.0,5.0,30.25,17.25
LeetPhilia,Bernice / Rozzi,4,0.0,36,9.0,5.0,46.75,17.25
yasuoぼっと,Mai,2,0.0,22,11.0,3.0,34.5,19.0
