Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
舞野,Markus / Irem,4,25.0,25,6.25,4.75,28.0,16.75
vaqlas,Hyejin,4,25.0,25,6.25,4.75,45.0,17.25
マーカスの大胸筋,Vanya / Justyna,4,25.0,25,6.25,4.75,45.0,17.25
らいらい,Camilo / Lyanh,4,25.0,41,10.25,3.0,44.75,19.5
たまご,Adina,4,25.0,41,10.25,3.0,51.0,20.0
みゅーき,Mai / Estelle,4,25.0,41,10.25,3.0,36.5,19.25
OISIIPROTEIN,Echion / Arda / Chiara,4,0.0,27,6.75,3.75,23.5,18.0
冷害,Vanya / Camilo / Emma,4,0.0,27,6.75,3.75,33.0,17.5
MaTfromDota2,YuMin / Piolo,4,0.0,27,6.75,3.75,38.75,18.25
レイライン,Aiden / Lenox / Xiukai,4,0.0,29,7.25,4.75,25.5,17.75
ZEKURIP,Martina / Jenny,4,0.0,29,7.25,4.75,46.5,19.25
無双,Abigail / Laura / Hisui,4,0.0,29,7.25,4.75,72.0,19.5
sino1012,Aya / Vanya / Elena,4,25.0,27,6.75,4.5,33.5,17.5
れもんだもん,Rozzi / Hart,4,25.0,27,6.75,4.5,45.75,17.75
kemiko,Echion / Hisui,4,25.0,27,6.75,4.5,45.0,17.5
ハッピー天月,Markus / Chiara / Katja / Hart,4,25.0,42,10.5,4.0,39.25,18.75
thato,Lyanh / Alonso,4,25.0,42,10.5,4.0,38.5,18.5
い力,Lenore / Echion,4,25.0,42,10.5,4.0,54.0,18.75
DEKABIGUNO,Charlotte,4,0.0,12,3.0,7.25,9.5,11.75
Pinzou,Hisui / DebiMarlene,4,0.0,12,3.0,7.25,24.25,13.25
SanrioPiololand,Piolo,4,0.0,12,3.0,7.25,29.25,12.75
たまねぎ2nd,Celine,2,0.0,0,0.0,5.0,43.0,17.0
sLLLime,Chloe / Tsubame,4,0.0,15,3.75,4.0,49.5,18.75
灯油,Emma,4,0.0,15,3.75,4.0,46.5,18.25
upalupa,Mai,2,0.0,15,7.5,3.0,35.5,19.0
