Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
コレマサ,Elena,2,50.0,33,16.5,3.0,35.0,18.5
syon1222,DebiMarlene / Katja,4,25.0,40,10.0,4.0,37.75,18.0
Dato2,Irem,4,25.0,40,10.0,4.0,54.75,18.5
えすみす,Alex / Luke,4,0.0,17,4.25,3.5,55.0,18.25
Natupon,Nathapon / Leni,4,0.0,17,4.25,3.5,28.25,17.75
YoNeaKy,Hyejin / Chloe / Camilo,4,0.0,17,4.25,3.5,57.75,18.25
Levia4,Eleven,4,50.0,52,13.0,2.0,18.25,18.75
青柳,Aiden,4,50.0,52,13.0,2.0,75.75,19.75
かっと,Chiara / Darko,4,50.0,52,13.0,2.0,45.5,19.0
Bluewings,Vanya / Nicky / Aya,4,0.0,13,3.25,4.5,51.75,17.5
ymt,Nicky / Celine / Adriana,4,0.0,13,3.25,4.5,39.0,16.75
LORDofVERMILION,Istvan / Jan / Barbara,4,0.0,13,3.25,4.5,49.25,16.5
C4storice,Echion / Jan,4,0.0,21,5.25,4.25,48.0,17.0
berryrabbit,Laura,4,0.0,21,5.25,4.25,56.0,17.5
444PROJECTILES,Silvia,4,0.0,21,5.25,4.25,41.25,16.0
たまこん,Shoichi,4,25.0,36,9.0,3.75,35.25,16.5
お豆腐の匠,Kenneth / Arda,4,25.0,36,9.0,3.75,36.75,16.25
レイ様,Charlotte / Darko,4,25.0,36,9.0,3.75,37.25,16.5
ここかな,Camilo / Piolo,4,0.0,3,0.75,6.0,45.75,13.75
SSPotato,Priya / Vanya,4,0.0,3,0.75,6.0,20.25,13.5
CiELzzz,Nadine / Hart / Theodore / Jackie,4,0.0,3,0.75,6.0,38.75,13.75
きまき,Garnet / Sissela,2,0.0,7,3.5,5.0,26.5,17.0
