Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
かとかい,Lenore / Haze,2,50.0,13,6.5,2.5,64.0,19.5
Meltt,Rio / Nadine / Tsubame,4,25.0,26,6.5,3.75,61.5,19.25
ニッキーブレーク,Estelle / Lenox / Alonso,4,25.0,26,6.5,3.75,27.5,18.0
sino1012,Sua / Nathapon / Vanya,4,0.0,16,4.0,5.0,48.25,18.0
れもんだもん,Rio / Emma / Arda,4,0.0,16,4.0,5.0,46.75,17.25
Hyouya,Garnet / Eleven / LiDailin,4,0.0,16,4.0,5.0,30.75,17.0
みゅーき,Estelle / Mai / Jenny,4,25.0,48,12.0,3.0,43.5,18.25
thato,Lyanh / Hyejin,4,25.0,48,12.0,3.0,56.75,19.0
3y3s,Chloe / Aya / Priya,4,25.0,48,12.0,3.0,41.75,19.0
HeianKYO,Elena / Alonso,4,25.0,43,10.75,3.0,28.5,18.5
とんとジェニー,Jenny / Aya,4,25.0,43,10.75,3.0,50.25,19.0
舞野,Adriana,4,25.0,43,10.75,3.0,35.75,19.0
sLLLime,Rio / Tsubame / Priya / Chiara,4,0.0,17,4.25,4.75,42.25,18.75
灯油,Emma,2,0.0,6,3.0,3.5,34.0,18.5
upalupa,Mai / Estelle,4,0.0,17,4.25,4.75,18.75,17.75
Exaneko,Sua,4,25.0,29,7.25,5.0,38.5,17.25
るう子,Nathapon,4,25.0,29,7.25,5.0,33.75,17.5
ハラミ,Aiden,4,25.0,29,7.25,5.0,30.0,17.0
らいらい,Camilo / Bianca,4,0.0,20,5.0,6.25,23.0,15.0
vaqlas,Priya / Hyejin,4,0.0,20,5.0,6.25,26.75,14.25
voider26,Estelle / Piolo,4,0.0,20,5.0,6.25,22.75,14.25
レイライン,LiDailin,4,0.0,20,5.0,5.5,50.75,15.25
ZEKURIP,Martina,4,0.0,20,5.0,5.5,31.0,14.75
無双,Hisui,4,0.0,20,5.0,5.5,54.25,15.5
Prushka,Arda,2,0.0,13,6.5,5.0,43.0,18.5
たまねぎ2nd,Felix / Hart,2,0.0,11,5.5,6.0,42.5,19.0
