rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Isol, 冷害, 헬파이어, Defense, 20, 9, 11, 8, 1, 0, 0, 0, 5, 2, 54, , 48723675, 幻想ながしそうめん, 18.5, 10, 8.5
1, 20, Hisui, Drizzle1911, 빛의검, Defense, 20, 9, 11, 8, 1, 0, 0, 0, 2, 4, 91, , 48723675, 幻想ながしそうめん, 18.5, 10, 8.5
1, 20, Alonso, bambooXIV, 빙화현옥수, Defense, 19, 9, 11, 8, 1, 0, 0, 0, 2, 3, 19, , 48723675, 幻想ながしそうめん, 18.5, 10, 8.5
2, 19, Chloe, rosen, 흑련비표, Defense, 19, 8, 8, 6, 0, 0, 2, 0, 4, 3, 44, 冷害, 48723675, †神縫合†, 15, 7, 8
2, 20, Elena, HeianKYO, 미스틸테인, Defense, 19, 8, 8, 6, 0, 0, 2, 0, 1, 6, 58, bambooXIV, 48723675, †神縫合†, 15, 7, 8
2, 20, Jenny, kawaiiOTP, 알타이르, Defense, 19, 8, 8, 6, 0, 0, 2, 0, 3, 4, 47, 冷害, 48723675, †神縫合†, 15, 7, 8
3, 20, Bernice, Dotter, 폴라리스, Defense, 20, 8, 8, 5, 1, 0, 2, 0, 3, 5, 95, 冷害, 48723675, Toxtricity, 12.5, 5, 7.5
3, 18, Darko, かっと, 타구봉, Defense, 17, 8, 8, 5, 1, 0, 2, 0, 3, 2, 12, , 48723675, Toxtricity, 12.5, 5, 7.5
3, 19, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 18, 8, 8, 5, 1, 0, 2, 0, 2, 2, 41, Drizzle1911, 48723675, Toxtricity, 12.5, 5, 7.5
4, 18, Darko, REIA778, 여의봉, Defense, 17, 6, 6, 5, 1, 0, 0, 0, 2, 2, 27, , 48723675, Marine Delight, 9.5, 4, 5.5
4, 18, Nathapon, シユイ, 트리플 포커스, Defense, 17, 6, 6, 5, 1, 0, 0, 0, 4, 2, 41, かっと, 48723675, Marine Delight, 9.5, 4, 5.5
4, 19, Laura, berryrabbit, 우라누스, Defense, 18, 6, 6, 5, 1, 0, 0, 0, 0, 6, 58, Dotter, 48723675, Marine Delight, 9.5, 4, 5.5
5, 17, Mai, 一杯酒気, 뇌룡편, Defense, 16, 1, 1, 0, 0, 0, 1, 0, 0, 1, 29, シユイ, 48723675, ライトニング・ストーム, 4, 3, 1
5, 17, Katja, ななしの, 안드로메다, Defense, 17, 1, 1, 0, 0, 0, 1, 0, 1, 0, 43, シユイ, 48723675, ライトニング・ストーム, 4, 3, 1
5, 18, Priya, mare7s, 헤븐즈도어, Defense, 17, 1, 1, 0, 0, 0, 1, 0, 0, 1, 56, Drizzle1911, 48723675, ライトニング・ストーム, 4, 3, 1
6, 16, Tazia, たまご, 풍마수리검, Defense, 15, 2, 2, 0, 0, 0, 2, 0, 1, 1, 36, kawaiiOTP, 48723675, ETC, 4, 2, 2
6, 16, Charlotte, CiELzzz, 절제, Defense, 13, 2, 2, 0, 0, 0, 2, 0, 0, 2, 11, Dotter, 48723675, ETC, 4, 2, 2
6, 17, Nicky, 鈴木リコリス, 아이언피스트, Defense, 15, 2, 2, 0, 0, 0, 2, 0, 1, 1, 33, REIA778, 48723675, ETC, 4, 2, 2
7, 15, Estelle, レイ様, 빔엑스, Defense, 14, 4, 4, 0, 2, 0, 2, 0, 0, 3, 21, シユイ, 48723675, たかし, 4, 1, 3
7, 15, Adina, たまこん, 더문, Defense, 16, 4, 4, 0, 2, 0, 2, 0, 2, 2, 25, かっと, 48723675, たかし, 4, 1, 3
7, 15, Katja, Endeavor108, 폴라리스, Defense, 15, 4, 4, 0, 2, 0, 2, 0, 2, 1, 46, REIA778, 48723675, たかし, 4, 1, 3
