Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
LxN,Katja / Rio,4,25.0,39,9.75,3.0,49.5,19.25
チクタク,Garnet / Darko,4,25.0,39,9.75,3.0,42.5,18.5
ぱんかす,Hisui / Alonso,4,25.0,39,9.75,3.0,41.25,18.75
ここかな,Felix,4,25.0,27,6.75,3.5,64.75,18.25
義妹,Silvia,4,25.0,27,6.75,3.5,29.5,17.25
SSPotato,Mai,4,25.0,27,6.75,3.5,15.25,16.75
guppy63,Hart / Irem,4,0.0,21,5.25,4.5,52.5,18.0
chainin,Darko / Nicky,4,0.0,21,5.25,4.5,18.0,17.0
Atato,Tia,4,0.0,21,5.25,4.5,49.5,18.0
gincha1299,Katja / Darko,4,25.0,42,10.5,4.0,36.25,18.0
Dagashi0,Estelle / Yuki / Hisui / Garnet,4,25.0,42,10.5,4.0,34.75,18.0
doratama,Justyna / Shoichi / Arda,4,25.0,42,10.5,4.0,65.0,18.5
kur1ch4n,Adina / Theodore / Haze,4,25.0,29,7.25,4.0,53.0,17.25
yossyoss,Katja / Bernice,4,25.0,29,7.25,4.0,42.75,17.25
hato88,Estelle / Alonso / Mai,4,25.0,29,7.25,4.0,16.75,15.75
ジェノ,Echion / Tazia,4,0.0,12,3.0,4.0,32.75,17.0
dominula,Leni / Charlotte,4,0.0,12,3.0,4.0,20.5,16.5
greatSolt,Jenny / Estelle,4,0.0,12,3.0,4.0,58.5,17.75
ワイザム,Xiukai / Hisui / Zahir,4,0.0,10,2.5,6.75,37.0,16.0
責任,Magnus / Abigail,4,0.0,10,2.5,6.75,32.0,15.5
サトツ,Alonso / Bernice,4,0.0,10,2.5,6.75,52.0,16.0
azazazazazazazaz,Sua / Celine / Elena,4,0.0,33,8.25,6.25,32.75,14.25
Mimoria,Leni / Eleven / Aiden / Tsubame,4,0.0,33,8.25,6.25,23.75,13.5
氷雪いろは,Yuki / Istvan / Isol,4,0.0,33,8.25,6.25,23.5,13.75
