Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
vaqlas,Hyejin / Celine,4,25.0,32,8.0,2.5,62.0,19.25
voider26,Estelle / Lenox / Nicky,4,25.0,32,8.0,2.5,33.75,18.75
れもんだもん,Leni / Rio / Rozzi,4,25.0,32,8.0,2.5,56.5,19.25
たまこん,Shoichi,4,0.0,15,3.75,5.25,43.25,16.0
レイ様,Estelle / Eleven / Garnet,4,0.0,15,3.75,5.25,31.75,15.0
Endeavor108,Theodore,4,0.0,15,3.75,5.25,47.5,15.75
rosen,Arda,4,0.0,19,4.75,3.5,47.75,18.25
kawaiiOTP,Jenny,4,0.0,19,4.75,3.5,44.75,18.25
HeianKYO,Elena / Garnet,4,0.0,19,4.75,3.5,34.75,18.5
御存知ムエタイ,Hisui / Haze,4,0.0,21,5.25,4.0,40.75,18.0
C4storice,Jan,4,0.0,21,5.25,4.0,67.25,19.0
YoNeaKy,Hyejin / Mai,4,0.0,21,5.25,4.0,53.75,19.0
八ッ橋ちょこ,Haze / Elena,4,0.0,12,3.0,5.0,33.25,16.75
LilySelene,Estelle / Istvan / Abigail,4,0.0,12,3.0,5.0,38.75,16.5
CiELzzz,Nadine / Jackie / DebiMarlene / Hart,4,0.0,12,3.0,5.0,27.75,16.5
3y3s,Johann,4,75.0,46,11.5,2.25,16.5,17.75
らいらい,Camilo,4,75.0,46,11.5,2.25,64.75,19.0
피세,Bernice / Jan,4,75.0,46,11.5,2.25,60.5,19.25
TKDNdecoy,Sissela / Leon,4,0.0,17,4.25,5.5,33.0,15.5
sukopi,Estelle / Alonso / Elena,4,0.0,17,4.25,5.5,32.0,15.5
駅弁mk,Katja / YuMin / Fiora,4,0.0,17,4.25,5.5,64.25,16.75
