rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Isol, 冷害, 헬파이어-진홍, Defense, 20, 12, 12, 12, 0, 0, 0, 0, 9, 2, 62, , 48725414, 幻想ながしそうめん, 22, 10, 12
1, 19, Alonso, bambooXIV, 빙화현옥수, Defense, 19, 12, 12, 12, 0, 0, 0, 0, 0, 12, 28, , 48725414, 幻想ながしそうめん, 22, 10, 12
1, 20, Hisui, Drizzle1911, 다인슬라이프, Defense, 20, 12, 12, 12, 0, 0, 0, 0, 3, 9, 107, , 48725414, 幻想ながしそうめん, 22, 10, 12
2, 19, Garnet, かっと, 스파이의우산, Defense, 19, 10, 10, 5, 2, 0, 3, 0, 4, 5, 19, 冷害, 48725414, Toxtricity, 16, 7, 9
2, 20, William, ぷれこーーーーる, 체이서-진홍, Defense, 20, 10, 10, 5, 2, 0, 3, 0, 2, 7, 43, 冷害, 48725414, Toxtricity, 16, 7, 9
2, 20, YuMin, Dotter, 여제, Defense, 20, 10, 10, 5, 2, 0, 3, 0, 4, 5, 67, 冷害, 48725414, Toxtricity, 16, 7, 9
3, 19, Chloe, rosen, 수다르사나, Defense, 19, 1, 1, 0, 0, 0, 1, 0, 1, 0, 46, 冷害, 48725414, †神縫合†, 6, 5, 1
3, 20, Elena, HeianKYO, 미스틸테인, Defense, 19, 1, 1, 0, 0, 0, 1, 0, 0, 1, 49, 冷害, 48725414, †神縫合†, 6, 5, 1
3, 19, Jenny, kawaiiOTP, 알타이르, Defense, 19, 1, 1, 0, 0, 0, 1, 0, 0, 1, 74, Drizzle1911, 48725414, †神縫合†, 6, 5, 1
4, 18, Yuki, berryrabbit, 아론다이트, Defense, 18, 1, 1, 0, 0, 0, 1, 0, 0, 1, 19, 冷害, 48725414, Marine Delight, 5, 4, 1
4, 19, Hart, REIA778, 프리버드, Defense, 18, 1, 1, 0, 0, 0, 1, 0, 0, 1, 45, 冷害, 48725414, Marine Delight, 5, 4, 1
4, 19, Adriana, シユイ, 아스트라페, Defense, 18, 1, 1, 0, 0, 0, 1, 0, 1, 0, 31, 冷害, 48725414, Marine Delight, 5, 4, 1
5, 18, Estelle, レイ様, 빔엑스, Defense, 17, 6, 6, 3, 2, 0, 1, 0, 1, 5, 21, かっと, 48725414, たかし, 8, 3, 5
5, 19, Adina, たまこん, 더 데스-진홍, Defense, 19, 6, 6, 3, 2, 0, 1, 0, 2, 3, 47, ぷれこーーーーる, 48725414, たかし, 8, 3, 5
5, 19, Katja, Endeavor108, 안드로메다, Defense, 19, 6, 6, 3, 2, 0, 1, 0, 3, 1, 50, かっと, 48725414, たかし, 8, 3, 5
6, 17, Vanya, 鈴木リコリス, 여제, Defense, 16, 6, 6, 0, 2, 0, 4, 0, 2, 2, 27, Drizzle1911, 48725414, ETC, 7, 2, 5
6, 16, Estelle, CiELzzz, 빔엑스, Defense, 15, 6, 6, 0, 2, 0, 4, 0, 1, 5, 22, Drizzle1911, 48725414, ETC, 7, 2, 5
6, 16, Echion, たまご, 데스애더퀸-MT, Defense, 15, 6, 6, 0, 2, 0, 4, 0, 3, 3, 49, 冷害, 48725414, ETC, 7, 2, 5
7, 10, Mai, 一杯酒気, 뇌룡편, Defense, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, Endeavor108, 48725414, ライトニング・ストーム, 1, 1, 0
7, 10, Priya, mare7s, 퍼플헤이즈, Defense, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, たまこん, 48725414, ライトニング・ストーム, 1, 1, 0
7, 10, Katja, ななしの, 폴라리스, Defense, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, レイ様, 48725414, ライトニング・ストーム, 1, 1, 0
