Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
えすみす,William / Katja / Emma,4,25.0,24,6.0,4.25,55.0,17.25
peporen,Estelle / Markus / Nicky,4,25.0,24,6.0,4.25,30.0,15.75
Natupon,Nathapon,4,25.0,24,6.0,4.25,36.25,16.75
Rikky,Xiukai / Yuki,4,0.0,30,7.5,3.75,19.0,17.75
御存知ムエタイ,Vanya / Hisui,4,0.0,30,7.5,3.75,61.5,18.5
YoNeaKy,Camilo / Hyejin,4,0.0,30,7.5,3.75,59.25,18.75
C4storice,Jan,4,0.0,25,6.25,3.25,61.75,18.5
ヴィルヴィ,Abigail,4,0.0,25,6.25,3.25,56.25,18.5
Bluewings,Elena / Vanya,4,0.0,25,6.25,3.25,46.75,17.75
berryrabbit,Laura,4,25.0,39,9.75,3.5,42.0,17.5
REIA778,Darko,4,25.0,39,9.75,3.5,27.0,16.5
シユイ,Niah,2,0.0,14,7.0,5.5,28.0,14.5
葉月千悠,Adela / Sua,4,50.0,39,9.75,2.25,57.75,19.0
水無れき,Hart,4,50.0,39,9.75,2.25,61.0,19.0
おぼろづき米,Alonso / Darko,4,50.0,39,9.75,2.25,38.25,18.25
444PROJECTILES,DebiMarlene / Silvia,4,0.0,13,3.25,5.5,29.25,16.75
サーモン中西,Chloe,4,0.0,13,3.25,5.5,42.5,16.75
LORDofVERMILION,Yuki,4,0.0,13,3.25,5.5,48.5,17.0
お豆腐の匠,Barbara / Kenneth,4,0.0,11,2.75,5.5,34.5,15.5
でっていう,DebiMarlene / Garnet,2,0.0,6,3.0,5.5,16.5,13.5
レイ様,Istvan / Estelle / Markus,4,0.0,11,2.75,5.5,38.25,15.25
デスガキ,Lyanh,2,50.0,25,12.5,1.5,48.0,19.5
たまこん,Shoichi,2,0.0,5,2.5,5.5,34.0,15.0
