Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
챠리리,Camilo,2,50.0,14,7.0,3.0,43.5,19.0
みゅーき,Leni / Mai,4,50.0,44,11.0,3.0,23.0,17.5
らいらい,Hisui / Camilo,4,50.0,44,11.0,3.0,53.75,19.0
MaTfromDota2,Piolo / Hyejin,4,0.0,30,7.5,3.25,49.25,19.0
かっと,Leni / Elena,4,0.0,30,7.5,3.25,24.5,17.5
たまねぎ2nd,Felix,2,0.0,19,9.5,2.5,72.0,20.0
OISIIPROTEIN,Lenox,4,0.0,25,6.25,3.0,21.5,18.0
うぃくらいん,Adriana,4,0.0,25,6.25,3.0,38.75,19.0
Dorago,Katja,4,0.0,25,6.25,3.0,57.0,19.25
catsR,Irem,4,25.0,25,6.25,5.25,39.0,12.75
sino1012,Jan,4,25.0,25,6.25,5.25,21.25,12.25
れもんだもん,Tia,4,25.0,25,6.25,5.25,29.5,12.5
さすらいぱんだ,Elena / Karla,4,0.0,16,4.0,4.0,40.5,17.5
Pororoca,Arda / Rio,4,0.0,16,4.0,4.0,47.75,17.5
うぇびー,Felix / Lenox,4,0.0,16,4.0,4.0,31.0,17.5
冷害,Justyna / Isol / Vanya,4,25.0,17,4.25,5.25,49.75,15.5
Exaneko,Sua / Markus,4,25.0,17,4.25,5.25,51.0,15.0
upalupa,Estelle / Priya / Mai,4,25.0,17,4.25,5.25,37.25,14.5
コレマサ,Priya / DebiMarlene,2,0.0,4,2.0,7.5,13.5,10.5
syon1222,Tazia / Nicky / Kenneth,4,0.0,11,2.75,6.5,19.25,11.25
Dato2,Garnet / Adela / Irem,4,0.0,11,2.75,6.5,35.25,12.0
10p,Sissela / Estelle / Chloe,4,0.0,29,7.25,5.75,32.25,15.0
ドンブレ,Bernice,4,0.0,29,7.25,5.75,44.75,15.75
みらくる,Xiukai / Lyanh / Barbara,4,0.0,29,7.25,5.75,27.25,15.0
たまご,Adina,2,50.0,30,15.0,3.0,63.5,19.5
御存知ムエタイ,Hisui,2,0.0,11,5.5,4.0,61.0,17.5
kimaki,Lenore / Garnet,2,0.0,7,3.5,5.5,40.0,13.0
