Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
spadeokayu,Bernice,4,50.0,21,5.25,3.5,52.75,18.25
MERCURYCUBE,Garnet,4,50.0,21,5.25,3.5,22.5,17.5
PuffingCat,Celine,4,50.0,21,5.25,3.5,56.5,19.0
デスガキ,Lyanh,2,0.0,8,4.0,4.0,56.5,18.5
berryrabbit,Leni / Tsubame,4,25.0,32,8.0,3.75,37.75,18.75
おぼろづき米,Hyunwoo / Markus,4,25.0,32,8.0,3.75,37.25,18.75
たまこん,Alex,4,0.0,32,8.0,4.25,30.0,18.25
お豆腐の匠,YuMin,4,0.0,32,8.0,4.25,55.75,19.25
レイ様,Eleven,4,0.0,32,8.0,4.25,22.0,17.0
kawaiiOTP,Jenny,4,0.0,18,4.5,3.75,33.25,18.75
rosen,Chloe / Barbara,4,0.0,18,4.5,3.75,50.5,19.0
HeianKYO,Elena / Garnet / Alonso / Lenox,4,0.0,18,4.5,3.75,42.5,18.5
Pororoca,Chloe / Hart / Rio,4,25.0,36,9.0,3.0,56.75,19.75
yasuoぼっと,Alonso / Mai,4,25.0,36,9.0,3.0,16.5,18.25
うぇびー,Tia,2,50.0,28,14.0,3.0,57.5,20.0
ぷれこーーーーる,William,4,0.0,27,6.75,5.25,31.25,17.75
YoNeaKy,Chloe / Eva,2,0.0,12,6.0,4.5,43.0,18.5
混沌の闇ヤスオ,Jan / Piolo,4,0.0,27,6.75,5.25,45.25,18.25
Twitchotouhuuu,Rio / Magnus,4,0.0,8,2.0,6.75,19.0,12.5
アルペジオ,Lenox / Lenore,4,0.0,8,2.0,6.75,15.5,12.25
Balro,Darko / Shoichi / Katja,4,0.0,8,2.0,6.75,23.0,12.5
レヴナ,Darko,4,0.0,18,4.5,5.75,24.0,15.25
冷害,Elena,4,0.0,18,4.5,5.75,30.75,15.25
CiELzzz,Hart,4,0.0,18,4.5,5.75,42.0,15.75
さすらいぱんだ,Karla,2,0.0,8,4.0,3.0,66.0,19.0
シユイ,Adriana,2,50.0,24,12.0,3.5,48.5,20.0
ヴィルヴィ,Abigail,2,0.0,15,7.5,6.0,38.0,18.5
