rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Aya, とんとジェニー, 헬파이어, Defense, 20, 9, 10, 6, 3, 72, , 46014971, 舞野組
1, 19, Alonso, HeianKYO, 빙화현옥수, Defense, 19, 9, 10, 2, 5, 22, , 46014971, 舞野組
1, 20, Adriana, 舞野, 아스트라페, Defense, 20, 9, 10, 1, 8, 38, , 46014971, 舞野組
2, 20, Jenny, みゅーき, 알타이르, Defense, 20, 14, 14, 9, 2, 66, とんとジェニー, 46014971, Out of Control
2, 20, Priya, 3y3s, 헤븐즈도어, Defense, 20, 14, 14, 1, 12, 23, とんとジェニー, 46014971, Out of Control
2, 20, Lyanh, thato, 비색 단검-진홍, Defense, 20, 14, 14, 4, 7, 58, とんとジェニー, 46014971, Out of Control
4, 18, Rio, れもんだもん, 적궁백시, Defense, 18, 4, 4, 1, 3, 45, Exaneko, 46014971, TBD
4, 19, Sua, sino1012, 팔괘장, Defense, 18, 4, 4, 0, 2, 39, Exaneko, 46014971, TBD
4, 19, Garnet, Hyouya, 팔괘장, Defense, 18, 4, 4, 3, 1, 27, , 46014971, TBD
4, 20, Camilo, らいらい, 디오스쿠로이, Defense, 20, 8, 8, 3, 4, 40, Exaneko, 46014971, いにゃずにゃ
4, 19, Priya, vaqlas, 헤븐즈도어, Defense, 19, 8, 8, 2, 6, 27, みゅーき, 46014971, いにゃずにゃ
4, 19, Estelle, voider26, 빔엑스, Defense, 19, 8, 8, 3, 5, 24, みゅーき, 46014971, いにゃずにゃ
5, 20, Aiden, ハラミ, 빛의검, Defense, 19, 9, 9, 0, 4, 32, らいらい, 46014971, せしるぷらいち
5, 20, Sua, Exaneko, 낭아봉, Defense, 20, 9, 9, 6, 1, 48, Hyouya, 46014971, せしるぷらいち
5, 20, Nathapon, るう子, 울트라비전, Defense, 20, 9, 9, 3, 5, 52, Hyouya, 46014971, せしるぷらいち
6, 20, LiDailin, レイライン, 천잠장갑, Defense, 19, 5, 5, 2, 3, 57, 舞野, 46014971, チクチク梅
6, 19, Martina, ZEKURIP, 카메라캐논, Defense, 18, 5, 5, 2, 2, 28, Meltt, 46014971, チクチク梅
6, 19, Hisui, 無双, 빛의검, Defense, 18, 5, 5, 1, 2, 69, とんとジェニー, 46014971, チクチク梅
7, 18, Arda, Prushka, 더문, Defense, 17, 3, 3, 1, 2, 38, レイライン, 46014971, Toddler Gangster
7, 19, Tsubame, Meltt, 만천화우, Defense, 18, 3, 3, 2, 1, 53, HeianKYO, 46014971, Toddler Gangster
7, 18, Alonso, ニッキーブレーク, 디바인피스트, Defense, 17, 3, 3, 0, 3, 13, とんとジェニー, 46014971, Toddler Gangster
8, 19, Felix, たまねぎ2nd, 애각창, Defense, 19, 8, 8, 4, 4, 40, thato, 46014971, NotBeingAll
8, 18, Mai, upalupa, 글레이프니르, Defense, 17, 8, 8, 1, 7, 5, みゅーき, 46014971, NotBeingAll
8, 18, Priya, sLLLime, 헤븐즈도어, Defense, 18, 8, 8, 3, 5, 29, みゅーき, 46014971, NotBeingAll
