rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Garnet, shimo1415, 마법봉, Defense, 18, 10, 11, 11, 0, 1, 8, 18, , 46975458, ジャンボ
1, 20, Hisui, もなぞう, 빛의검, Defense, 19, 10, 11, 11, 0, 3, 7, 51, , 46975458, ジャンボ
1, 19, Arda, uzakiron, 더문, Hunt, 20, 10, 11, 11, 0, 6, 4, 91, , 46975458, ジャンボ
2, 18, Alex, guppy63, 플라즈마톤파, Defense, 18, 15, 15, 8, 7, 1, 7, 25, もなぞう, 46975458, 最強★Love_&_Peace
2, 19, Justyna, chainin, 혈색반월-새벽, Defense, 19, 15, 15, 8, 7, 5, 7, 57, uzakiron, 46975458, 最強★Love_&_Peace
2, 19, Camilo, Atato, 환영도-진홍, Defense, 19, 15, 15, 8, 7, 9, 4, 32, uzakiron, 46975458, 最強★Love_&_Peace
3, 19, YuMin, EXOSKULLZERO, 더문, Defense, 20, 6, 6, 4, 2, 3, 2, 65, , 46975458, Nimmt55
3, 18, Alonso, Indeedee, 아이언피스트, Defense, 18, 6, 6, 4, 2, 0, 5, 25, ドリルフィールド, 46975458, Nimmt55
3, 19, Tsubame, isemaki, 미치광이왕의카드, Defense, 19, 6, 6, 4, 2, 3, 2, 64, ysd, 46975458, Nimmt55
4, 19, Vanya, ysd, 여제, Defense, 20, 5, 5, 4, 1, 3, 2, 49, EXOSKULLZERO, 46975458, えびグラ団
4, 18, Adela, ドリルフィールド, 터럭손방망이, Defense, 18, 5, 5, 4, 1, 2, 2, 41, isemaki, 46975458, えびグラ団
4, 18, Estelle, shrimpgratin, 낙원의낫, Defense, 17, 5, 5, 4, 1, 0, 3, 49, isemaki, 46975458, えびグラ団
5, 18, Katja, Yggdra1, 폴라리스, Defense, 18, 3, 3, 1, 2, 2, 0, 71, もなぞう, 46975458, ばなな組
5, 18, Eva, soku510, 소이탄, Defense, 18, 3, 3, 1, 2, 1, 1, 52, uzakiron, 46975458, ばなな組
5, 18, Alonso, 十二連火炎ブレス, 아이언피스트, Defense, 17, 3, 3, 1, 2, 0, 3, 23, uzakiron, 46975458, ばなな組
6, 17, Lenox, ankod, 뇌룡편, Defense, 17, 4, 4, 3, 1, 0, 3, 14, uzakiron, 46975458, おさんぽオンライン
6, 18, Martina, いのりの牛, 비전 플렉스-진홍, Defense, 18, 4, 4, 3, 1, 3, 1, 27, もなぞう, 46975458, おさんぽオンライン
6, 18, Hisui, arikA0331, 빛의검, Defense, 17, 4, 4, 3, 1, 1, 2, 56, shimo1415, 46975458, おさんぽオンライン
7, 18, Rio, 都築そろVT, 페일노트-진홍, Defense, 18, 8, 8, 3, 5, 4, 4, 44, chainin, 46975458, Serendipity
7, 17, Cathy, Magnen, 파산검, Defense, 17, 8, 8, 3, 5, 2, 4, 35, guppy63, 46975458, Serendipity
7, 17, Nicky, Fetch, 디바인피스트, Defense, 17, 8, 8, 3, 5, 2, 6, 21, chainin, 46975458, Serendipity
