Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
HeianKYO,Elena,4,75.0,51,12.75,1.25,47.5,19.75
とんとジェニー,Jenny,4,75.0,51,12.75,1.25,62.75,20.0
舞野,Adriana,4,75.0,51,12.75,1.25,38.75,20.0
ふろれん,Tia / Bernice / Aya / Irem,4,0.0,32,8.0,4.25,46.0,18.5
akihisa,YuMin / Nicky / Darko / Aiden,4,0.0,32,8.0,4.25,48.25,18.75
LegendOfLeague,Mai / Laura / Luke / Daniel,4,0.0,32,8.0,4.25,33.25,18.75
voider26,Estelle / Piolo / Alonso,4,0.0,7,1.75,6.25,23.25,14.0
vaqlas,Hyejin / Priya / Celine,4,0.0,7,1.75,6.25,29.5,15.0
catsR,Irem,4,0.0,7,1.75,6.25,36.75,14.5
sino1012,Elena / Aya,4,0.0,23,5.75,4.25,36.0,19.25
れもんだもん,Rozzi / Haze / Adriana,4,0.0,23,5.75,4.25,51.75,18.75
Hyouya,LiDailin / Garnet / Nicky,4,0.0,23,5.75,4.25,38.0,18.25
Prushka,Arda / Theodore,4,0.0,15,3.75,5.75,34.75,18.0
Meltt,Tsubame / Bernice,4,0.0,15,3.75,5.75,43.75,17.5
ニッキーブレーク,Alonso,4,0.0,15,3.75,5.75,16.0,17.0
Day1week,Rio / Katja / Rozzi,4,0.0,29,7.25,5.25,48.5,17.25
おにわ,Alex / Hisui,4,0.0,29,7.25,5.25,19.75,16.25
松マキサ,Lenox / Karla / Elena,4,0.0,29,7.25,5.25,20.25,16.25
みゅーき,Jenny / Bianca,4,0.0,32,8.0,4.25,59.25,18.5
ハッピー天月,Hart / Adina / Chiara,4,0.0,32,8.0,4.25,50.0,18.25
い力,Echion / Garnet,4,0.0,32,8.0,4.25,39.75,18.25
レイライン,Eleven / Elena / Emma,4,25.0,28,7.0,4.75,26.25,15.5
ZEKURIP,Martina / Nadine,4,25.0,28,7.0,4.75,36.75,16.25
無双,Hisui,4,25.0,28,7.0,4.75,50.0,16.5
