rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Leon, sino1012, 블러디핸즈, Defense, 20, 21, 22, 14, 8, 10, 9, 53, , 47061723, OverThrow
1, 20, Rozzi, れもんだもん, 하이눈, Defense, 20, 21, 22, 14, 8, 10, 7, 66, , 47061723, OverThrow
1, 20, Echion, kemiko, 블랙맘바킹-VBS, Defense, 20, 21, 22, 14, 8, 1, 16, 55, , 47061723, OverThrow
2, 20, Alex, レイライン, 플라즈마톤파, Defense, 19, 17, 17, 9, 8, 1, 12, 9, れもんだもん, 47061723, チクチク梅
2, 20, Rozzi, ZEKURIP, 하이눈, Defense, 20, 17, 17, 9, 8, 12, 2, 72, れもんだもん, 47061723, チクチク梅
2, 20, Sua, 無双, 마법봉, Defense, 20, 17, 17, 9, 8, 4, 10, 57, れもんだもん, 47061723, チクチク梅
3, 19, Justyna, かとかい, 팬텀 볼트, Defense, 20, 12, 12, 5, 7, 6, 5, 76, ZEKURIP, 47061723, Toddler Gangster
3, 19, Felix, うぇびー, 롱기누스의 창-진홍, Defense, 20, 12, 12, 5, 7, 4, 4, 51, ZEKURIP, 47061723, Toddler Gangster
3, 19, Estelle, ニッキーブレーク, 네플리온, Defense, 19, 12, 12, 5, 7, 2, 10, 23, ZEKURIP, 47061723, Toddler Gangster
4, 18, Chloe, rosen, 플레솃, Defense, 18, 1, 1, 0, 1, 1, 0, 46, かとかい, 47061723, †神縫合†
4, 19, Elena, HeianKYO, 활빈검, Defense, 18, 1, 1, 0, 1, 0, 0, 46, , 47061723, †神縫合†
4, 18, Jenny, kawaiiOTP, 알타이르, Defense, 18, 1, 1, 0, 1, 0, 0, 25, うぇびー, 47061723, †神縫合†
5, 20, Vanya, 冷害, 여제, Defense, 20, 4, 4, 3, 1, 1, 2, 26, 無双, 47061723, Toddler Ghost
5, 18, Sissela, CiELzzz, 루테늄구슬, Defense, 18, 4, 4, 3, 1, 1, 2, 36, 無双, 47061723, Toddler Ghost
5, 18, Garnet, mukkoro, 스파이의우산, Defense, 16, 4, 4, 3, 1, 2, 1, 36, ZEKURIP, 47061723, Toddler Ghost
6, 19, YuMin, sLLLime, 여제, Defense, 19, 9, 9, 4, 5, 5, 3, 50, sino1012, 47061723, NotBeingAll
6, 19, Hart, たまねぎ2nd, 프리버드, Defense, 19, 9, 9, 4, 5, 4, 4, 51, sino1012, 47061723, NotBeingAll
6, 18, Estelle, upalupa, 빔엑스, Defense, 18, 9, 9, 4, 5, 0, 9, 14, れもんだもん, 47061723, NotBeingAll
7, 17, Lyanh, デスガキ, 프라가라흐, Defense, 16, 5, 5, 3, 2, 2, 0, 36, ZEKURIP, 47061723, Marine Delight
7, 17, Leon, おぼろづき米, 흑요석짓테, Defense, 16, 5, 5, 3, 2, 2, 3, 40, 無双, 47061723, Marine Delight
7, 16, Adriana, シユイ, 아스트라페, Defense, 16, 5, 5, 3, 2, 1, 3, 34, ZEKURIP, 47061723, Marine Delight
8, 14, Alonso, Sucyone, 디바인피스트, Defense, 14, 1, 1, 0, 1, 0, 0, 10, デスガキ, 47061723, 伝説の中西
8, 14, Celine, ymt, 루테늄구슬, Defense, 14, 1, 1, 0, 1, 0, 1, 34, シユイ, 47061723, 伝説の中西
8, 15, Chloe, サーモン中西, 미치광이왕의카드, Defense, 14, 1, 1, 0, 1, 1, 0, 29, おぼろづき米, 47061723, 伝説の中西
