rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Rozzi, れもんだもん, 하이눈, Defense, 20, 19, 19, 16, 3, 8, 5, 61, , 47060406, OverThrow
1, 19, Vanya, sino1012, 여제, Defense, 19, 19, 19, 16, 3, 4, 12, 49, , 47060406, OverThrow
1, 20, Hisui, kemiko, 빛의검, Defense, 20, 19, 19, 16, 3, 7, 10, 64, , 47060406, OverThrow
2, 19, Felix, うぇびー, 장팔사모, Defense, 18, 7, 7, 2, 5, 5, 2, 45, kemiko, 47060406, Toddler Gangster
2, 20, Justyna, かとかい, 팬텀 볼트, Defense, 20, 7, 7, 2, 5, 2, 5, 49, kemiko, 47060406, Toddler Gangster
2, 18, Estelle, ニッキーブレーク, 빔엑스, Defense, 18, 7, 7, 2, 5, 0, 6, 19, たまねぎ2nd, 47060406, Toddler Gangster
3, 20, Felix, たまねぎ2nd, 애각창, Defense, 19, 13, 13, 9, 4, 5, 4, 48, れもんだもん, 47060406, NotBeingAll
3, 19, Priya, sLLLime, 헤븐즈도어, Defense, 19, 13, 13, 9, 4, 5, 8, 29, kemiko, 47060406, NotBeingAll
3, 19, Mai, upalupa, 뇌룡편, Defense, 19, 13, 13, 9, 4, 3, 9, 27, kemiko, 47060406, NotBeingAll
4, 20, Jenny, ZEKURIP, 알타이르, Defense, 20, 10, 10, 7, 3, 6, 2, 51, upalupa, 47060406, チクチク梅
4, 19, Xiukai, レイライン, 파산검, Defense, 19, 10, 10, 7, 3, 1, 8, 15, れもんだもん, 47060406, チクチク梅
4, 20, Hisui, 無双, 빛의검, Defense, 20, 10, 10, 7, 3, 3, 6, 71, れもんだもん, 47060406, チクチク梅
5, 19, Elena, HeianKYO, 미스틸테인, Defense, 18, 1, 1, 0, 1, 0, 1, 75, れもんだもん, 47060406, †神縫合†
5, 18, Jenny, kawaiiOTP, 알타이르, Defense, 17, 1, 1, 0, 1, 0, 1, 38, たまねぎ2nd, 47060406, †神縫合†
5, 18, Aya, rosen, 알타이르, Defense, 18, 1, 1, 0, 1, 1, 0, 40, れもんだもん, 47060406, †神縫合†
6, 18, Vanya, 冷害, 여제, Defense, 18, 6, 6, 3, 3, 1, 5, 63, レイライン, 47060406, Toddler Ghost
6, 18, Sissela, CiELzzz, 옥전결, Defense, 17, 6, 6, 3, 3, 4, 2, 28, ZEKURIP, 47060406, Toddler Ghost
6, 17, Garnet, mukkoro, 스파이의우산, Defense, 15, 6, 6, 3, 3, 1, 5, 25, ZEKURIP, 47060406, Toddler Ghost
7, 17, Rio, サーモン中西, 트윈보우, Hunt, 16, 2, 2, 0, 2, 0, 2, 60, れもんだもん, 47060406, 伝説の中西
7, 17, Darko, Sucyone, 구원의여신상, Defense, 16, 2, 2, 0, 2, 0, 1, 20, れもんだもん, 47060406, 伝説の中西
7, 17, Hisui, ymt, 모노호시자오, Defense, 16, 2, 2, 0, 2, 2, 0, 29, sino1012, 47060406, 伝説の中西
8, 15, Adriana, シユイ, 아스트라페, Defense, 15, 2, 2, 1, 1, 0, 2, 38, sLLLime, 47060406, Marine Delight
8, 16, Lyanh, デスガキ, 카른웬난, Defense, 16, 2, 2, 1, 1, 1, 0, 41, たまねぎ2nd, 47060406, Marine Delight
8, 15, Isaac, おぼろづき米, 홀스터톤파, Defense, 15, 2, 2, 1, 1, 1, 1, 39, sLLLime, 47060406, Marine Delight
