rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,kill,assist,hunting,killer,gameId,teamName,rankscore
1,20,Bianca,みゅーき,더문,Defense,20,18,18,4,13,33,,45709997,パクサンジュン.jpg,8
1,20,William,박의민,안티오크의수류탄,Defense,20,18,18,7,9,36,,45709997,パクサンジュン.jpg,8
1,20,Camilo,らいらい,유성검,Defense,19,18,18,7,9,41,,45709997,パクサンジュン.jpg,8
2,20,Nadine,Meltt,혈색반월-진홍,Defense,20,11,11,8,2,93,らいらい,45709997,Toddler Gangster,5
2,19,Mai,ニッキーブレーク,글레이프니르,Defense,19,11,11,1,9,25,박의민,45709997,Toddler Gangster,5
2,20,Theodore,Prushka,데드아이,Defense,20,11,11,2,9,45,みゅーき,45709997,Toddler Gangster,5
3,19,Hart,ハッピー天月,원더풀투나잇,Defense,19,8,8,2,3,46,松マキサ,45709997,Out of Control,4
3,20,Lyanh,thato,카른웬난,Defense,19,8,8,4,4,38,松マキサ,45709997,Out of Control,4
3,19,Echion,い力,블랙맘바킹-TL,Defense,19,8,8,2,6,32,みゅーき,45709997,Out of Control,4
4,19,Leon,LegendOfLeague,흑요석짓테,Defense,20,9,9,1,6,35,みゅーき,45709997,SCB,3
4,20,YuMin,akihisa,여제,Defense,20,9,9,5,2,56,ハッピー天月,45709997,SCB,3
4,20,Adriana,松マキサ,체이서,Defense,20,9,9,3,5,42,らいらい,45709997,SCB,3
5,20,Estelle,sukopi,스퀴테,Defense,20,10,10,3,6,48,Meltt,45709997,稲妻十字,2
5,20,Nadine,peporen,대황,Defense,20,10,10,5,3,59,Prushka,45709997,稲妻十字,2
5,20,Hisui,かっと,다인슬라이프,Defense,20,10,10,2,8,55,Meltt,45709997,稲妻十字,2
6,18,Rio,suiren,트윈보우,Defense,18,3,3,1,1,66,ハッピー天月,45709997,舞野組,1
6,19,Garnet,HeianKYO,스파이의우산,Defense,17,3,3,0,1,21,박의민,45709997,舞野組,1
6,18,Isaac,舞野,홀스터톤파,Defense,17,3,3,2,1,27,akihisa,45709997,舞野組,1
7,17,Leni,レイライン,엘레강스,Defense,16,8,8,1,5,12,らいらい,45709997,チクチク梅,0
7,17,Chiara,無双,아르고스의눈,Defense,16,8,8,6,1,28,akihisa,45709997,チクチク梅,0
7,17,Arda,ZEKURIP,운명의수레바퀴,Defense,16,8,8,1,5,18,らいらい,45709997,チクチク梅,0
8,15,Katja,cruz487,폴라리스,Defense,14,2,2,2,0,20,thato,45709997,Void Stars,0
8,14,Estelle,bambooXIV,빔엑스,Defense,11,2,2,0,1,8,無双,45709997,Void Stars,0
8,14,Adina,keikoma,더스타,Defense,14,2,2,0,2,13,無双,45709997,Void Stars,0
