rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,kill,assist,hunting,killer,gameId,teamName,rankscore
1,20,Mai,みゅーき,우라누스,Defense,20,17,17,5,11,14,,45711397,パクサンジュン.jpg,8
1,20,Rio,박의민,적궁백시,Defense,20,17,17,8,7,70,,45711397,パクサンジュン.jpg,8
1,20,Celine,らいらい,체이서-새벽,Defense,20,17,17,4,10,45,,45711397,パクサンジュン.jpg,8
2,20,Adriana,松マキサ,여의주,Defense,20,5,5,1,2,77,박의민,45711397,SCB,5
2,20,YuMin,akihisa,여제,Defense,20,5,5,3,2,30,みゅーき,45711397,SCB,5
2,19,Leon,LegendOfLeague,흑요석짓테,Defense,19,5,5,1,3,31,らいらい,45711397,SCB,5
3,20,Hyejin,かとかい,생사부,Defense,20,8,8,5,2,46,松マキサ,45711397,Toddler Gangster,4
3,20,Estelle,ニッキーブレーク,빔엑스,Defense,19,8,8,0,7,22,akihisa,45711397,Toddler Gangster,4
3,20,Aya,Meltt,엔데버AX,Defense,20,8,8,3,4,59,akihisa,45711397,Toddler Gangster,4
4,19,Silvia,舞野,엘레강스,Defense,19,13,13,5,5,36,박의민,45711397,舞野組,3
4,20,Elena,HeianKYO,레드팬서,Defense,19,13,13,0,12,41,みゅーき,45711397,舞野組,3
4,19,Jenny,とんとジェニー,알타이르,Defense,19,13,13,8,5,44,みゅーき,45711397,舞野組,3
5,17,Hisui,かっと,빛의검,Defense,17,3,3,1,1,36,舞野,45711397,稲妻十字,2
5,18,Nadine,peporen,대황,Defense,18,3,3,2,1,61,とんとジェニー,45711397,稲妻十字,2
5,17,Elena,sukopi,아르고스의눈,Defense,17,3,3,0,3,43,舞野,45711397,稲妻十字,2
6,18,Hart,ハッピー天月,원더풀투나잇,Defense,18,3,3,2,1,31,かとかい,45711397,Out of Control,1
6,18,Lyanh,thato,카른웬난,Defense,17,3,3,0,1,37,かとかい,45711397,Out of Control,1
6,18,Echion,い力,블랙맘바킹-TL,Defense,18,3,3,1,1,25,かとかい,45711397,Out of Control,1
7,17,Elena,レイライン,활빈검,Defense,15,5,5,1,2,29,みゅーき,45711397,チクチク梅,0
7,17,Tsubame,ZEKURIP,만천화우,Hunt,16,5,5,3,1,56,박의민,45711397,チクチク梅,0
7,16,Hisui,無双,빛의검,Defense,15,5,5,1,2,44,박의민,45711397,チクチク梅,0
8,12,Kenneth,cruz487,하르페,Defense,9,0,0,0,0,22,とんとジェニー,45711397,Void Stars,0
8,12,DebiMarlene,keikoma,모노호시자오,Defense,10,0,0,0,0,18,とんとジェニー,45711397,Void Stars,0
8,12,Estelle,bambooXIV,빔엑스,Defense,10,0,0,0,0,14,とんとジェニー,45711397,Void Stars,0
