rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Adina, kur1ch4n, 더문, Hunt, 20, 13, 16, 10, 0, 0, 3, 0, 6, 6, 63, , 49942322, 私とりんご穏健派, 23, 10, 13
1, 19, Katja, yossyoss, 인터벤션, Defense, 20, 13, 16, 10, 0, 0, 3, 0, 6, 6, 58, , 49942322, 私とりんご穏健派, 23, 10, 13
1, 19, Estelle, hato88, 빔엑스, Defense, 18, 13, 16, 10, 0, 0, 3, 0, 1, 11, 16, , 49942322, 私とりんご穏健派, 23, 10, 13
2, 18, Sua, azazazazazazazaz, 낭아봉, Defense, 18, 15, 15, 6, 3, 0, 6, 0, 2, 6, 32, yossyoss, 49942322, ミルククラウン, 20.5, 7, 13.5
2, 19, Tsubame, Mimoria, 만천화우, Defense, 19, 15, 15, 6, 3, 0, 6, 0, 9, 2, 39, kur1ch4n, 49942322, ミルククラウン, 20.5, 7, 13.5
2, 19, Yuki, 氷雪いろは, 환영도-진홍, Defense, 18, 15, 15, 6, 3, 0, 6, 0, 4, 6, 22, kur1ch4n, 49942322, ミルククラウン, 20.5, 7, 13.5
3, 20, Katja, LxN, 위도우 메이커-진홍, Defense, 20, 10, 10, 5, 3, 0, 2, 0, 4, 6, 52, greatSolt, 49942322, I'm on fire!, 13.5, 5, 8.5
3, 19, Darko, チクタク, 여의봉, Defense, 19, 10, 10, 5, 3, 0, 2, 0, 3, 6, 46, Mimoria, 49942322, I'm on fire!, 13.5, 5, 8.5
3, 18, Alonso, ぱんかす, 빙화현옥수, Defense, 18, 10, 10, 5, 3, 0, 2, 0, 3, 6, 21, Mimoria, 49942322, I'm on fire!, 13.5, 5, 8.5
4, 16, Leni, dominula, 스탬피드, Defense, 15, 2, 2, 1, 0, 0, 1, 0, 1, 1, 22, , 49942322, Blighttown, 6, 4, 2
4, 18, Jenny, greatSolt, 매그넘-보아, Defense, 17, 2, 2, 1, 0, 0, 1, 0, 1, 1, 65, , 49942322, Blighttown, 6, 4, 2
4, 18, Echion, ジェノ, 블랙맘바킹-TL, Defense, 16, 2, 2, 1, 0, 0, 1, 0, 0, 2, 28, チクタク, 49942322, Blighttown, 6, 4, 2
5, 18, Shoichi, doratama, 비색단검, Defense, 18, 12, 12, 4, 6, 0, 2, 0, 4, 5, 67, LxN, 49942322, 治癒の歌合唱団, 12, 3, 9
5, 19, Katja, gincha1299, 현자총통, Defense, 19, 12, 12, 4, 6, 0, 2, 0, 4, 4, 52, yossyoss, 49942322, 治癒の歌合唱団, 12, 3, 9
5, 19, Garnet, Dagashi0, 마법봉, Defense, 18, 12, 12, 4, 6, 0, 2, 0, 4, 6, 28, ぱんかす, 49942322, 治癒の歌合唱団, 12, 3, 9
6, 17, Mai, SSPotato, 뇌룡편, Defense, 15, 1, 1, 0, 1, 0, 0, 0, 0, 0, 13, チクタク, 49942322, シャルティメットストーム, 2.5, 2, 0.5
6, 18, Felix, ここかな, 장팔사모, Defense, 16, 1, 1, 0, 1, 0, 0, 0, 1, 0, 61, LxN, 49942322, シャルティメットストーム, 2.5, 2, 0.5
6, 17, Silvia, 義妹, 엘레강스, Defense, 16, 1, 1, 0, 1, 0, 0, 0, 0, 1, 29, gincha1299, 49942322, シャルティメットストーム, 2.5, 2, 0.5
7, 17, Irem, guppy63, 점착폭탄, Defense, 16, 2, 2, 0, 0, 0, 2, 0, 1, 0, 58, kur1ch4n, 49942322, 最強★Love & Peace, 3, 1, 2
7, 17, Nicky, chainin, 빙화현옥수, Defense, 16, 2, 2, 0, 0, 0, 2, 0, 0, 2, 14, Mimoria, 49942322, 最強★Love & Peace, 3, 1, 2
7, 17, Tia, Atato, 팔괘장, Defense, 17, 2, 2, 0, 0, 0, 2, 0, 1, 1, 54, , 49942322, 最強★Love & Peace, 3, 1, 2
8, 15, Abigail, 責任, 빔엑스, Defense, 14, 3, 3, 0, 2, 0, 1, 0, 1, 2, 20, gincha1299, 49942322, †真実の刃†, 2, 0, 2
8, 15, Zahir, ワイザム, 루테늄구슬, Hunt, 15, 3, 3, 0, 2, 0, 1, 0, 1, 0, 57, doratama, 49942322, †真実の刃†, 2, 0, 2
8, 16, Alonso, サトツ, 디바인피스트, Defense, 15, 3, 3, 0, 2, 0, 1, 0, 1, 0, 35, doratama, 49942322, †真実の刃†, 2, 0, 2
