rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Markus, 舞野, 반고부, Defense, 20, 13, 13, 2, 10, 34, , 46355229, 舞野組
1, 20, Hyejin, vaqlas, 아르기로톡소스, Defense, 20, 13, 13, 7, 4, 47, , 46355229, 舞野組
1, 20, Vanya, マーカスの大胸筋, 여제, Defense, 20, 13, 13, 4, 7, 67, , 46355229, 舞野組
2, 20, Camilo, らいらい, 유성검, Defense, 20, 18, 18, 7, 11, 47, vaqlas, 46355229, 卵吸収装置
2, 20, Adina, たまご, 더문, Defense, 20, 18, 18, 9, 6, 56, vaqlas, 46355229, 卵吸収装置
2, 20, Mai, みゅーき, 글레이프니르, Defense, 20, 18, 18, 2, 15, 42, マーカスの大胸筋, 46355229, 卵吸収装置
3, 20, Echion, OISIIPROTEIN, 블랙맘바킹-TL, Defense, 19, 5, 5, 0, 4, 20, マーカスの大胸筋, 46355229, おっとっと
3, 20, Vanya, 冷害, 여제, Defense, 19, 5, 5, 3, 2, 38, レイライン, 46355229, おっとっと
3, 19, YuMin, MaTfromDota2, 더스타, Defense, 19, 5, 5, 2, 3, 40, 無双, 46355229, おっとっと
4, 20, Aiden, レイライン, 레바테인, Defense, 19, 10, 10, 2, 3, 43, マーカスの大胸筋, 46355229, チクチク梅
4, 20, Martina, ZEKURIP, 비전 플렉스-진홍, Defense, 20, 10, 10, 4, 5, 53, マーカスの大胸筋, 46355229, チクチク梅
4, 20, Abigail, 無双, 네플리온, Defense, 20, 10, 10, 4, 5, 67, 舞野, 46355229, チクチク梅
5, 20, Aya, sino1012, 알타이르, Defense, 20, 7, 7, 3, 2, 44, みゅーき, 46355229, OverThrow
5, 20, Rozzi, れもんだもん, 하이눈, Defense, 20, 7, 7, 3, 3, 43, たまご, 46355229, OverThrow
5, 20, Echion, kemiko, 블랙맘바킹-TL, Defense, 19, 7, 7, 1, 3, 32, たまご, 46355229, OverThrow
6, 20, Markus, ハッピー天月, 반고부, Defense, 19, 10, 10, 3, 6, 40, れもんだもん, 46355229, Out of Control
6, 19, Lyanh, thato, 비색단검, Defense, 19, 10, 10, 3, 6, 57, sino1012, 46355229, Out of Control
6, 20, Lenore, い力, 하트 브레이커-새벽, Defense, 20, 10, 10, 4, 5, 56, sino1012, 46355229, Out of Control
7, 17, Charlotte, DEKABIGUNO, 절제, Defense, 16, 3, 3, 1, 2, 13, らいらい, 46355229, DEKABIG-C
7, 18, Hisui, Pinzou, 모노호시자오, Defense, 17, 3, 3, 1, 1, 35, たまご, 46355229, DEKABIG-C
7, 17, Piolo, SanrioPiololand, 대소반룡곤, Defense, 16, 3, 3, 1, 1, 38, らいらい, 46355229, DEKABIG-C
8, 16, Celine, たまねぎ2nd, 소이탄, Defense, 15, 0, 0, 0, 0, 23, たまご, 46355229, NotBeingAll
8, 16, Chloe, sLLLime, 수다르사나, Defense, 16, 0, 0, 0, 0, 32, らいらい, 46355229, NotBeingAll
8, 15, Emma, 灯油, 건곤권, Defense, 15, 0, 0, 0, 0, 34, らいらい, 46355229, NotBeingAll
