rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Markus, Prushka, 반고부, Defense, 20, 14, 14, 12, 2, 0, 0, 0, 3, 9, 26, , 48997782, Toddler Gangster, 23, 10, 13
1, 20, Rio, Meltt, 적궁백시, Defense, 20, 14, 14, 12, 2, 0, 0, 0, 4, 8, 69, , 48997782, Toddler Gangster, 23, 10, 13
1, 20, Justyna, かとかい, 혈색반월-새벽, Defense, 20, 14, 14, 12, 2, 0, 0, 0, 7, 7, 70, , 48997782, Toddler Gangster, 23, 10, 13
2, 20, Lyanh, thato, 비색단검, Defense, 20, 14, 14, 7, 3, 0, 4, 0, 3, 7, 51, かとかい, 48997782, ちはとファンクラブ, 19.5, 7, 12.5
2, 20, Hisui, 無双, 다인슬라이프, Defense, 20, 14, 14, 7, 3, 0, 4, 0, 9, 4, 83, Meltt, 48997782, ちはとファンクラブ, 19.5, 7, 12.5
2, 20, Johann, 3y3s, 더썬, Defense, 19, 14, 14, 7, 3, 0, 4, 0, 2, 8, 13, Meltt, 48997782, ちはとファンクラブ, 19.5, 7, 12.5
3, 17, Theodore, れもんだもん, 데드아이, Defense, 18, 15, 15, 7, 6, 0, 2, 0, 6, 8, 37, かとかい, 48997782, アスパクラブ, 17, 5, 12
3, 19, Jan, sino1012, 윈드러너, Defense, 19, 15, 15, 7, 6, 0, 2, 0, 5, 9, 47, 無双, 48997782, アスパクラブ, 17, 5, 12
3, 19, Estelle, voider26, 빔엑스, Defense, 18, 15, 15, 7, 6, 0, 2, 0, 4, 11, 29, thato, 48997782, アスパクラブ, 17, 5, 12
4, 19, Laura, TKDNdecoy, 우라누스, Defense, 19, 5, 5, 1, 0, 0, 4, 0, 2, 3, 39, Prushka, 48997782, ミスディレクション, 9, 4, 5
4, 19, Markus, sukopi, 반고부, Defense, 18, 5, 5, 1, 0, 0, 4, 0, 1, 2, 28, Prushka, 48997782, ミスディレクション, 9, 4, 5
4, 20, Lenore, 駅弁mk, 헤븐즈도어, Hunt, 20, 5, 5, 1, 0, 0, 4, 0, 2, 3, 71, Prushka, 48997782, ミスディレクション, 9, 4, 5
5, 18, Karla, Twitchtatsuo0308, 팬텀 볼트, Hunt, 18, 3, 3, 2, 1, 0, 0, 0, 2, 1, 62, Meltt, 48997782, ETC, 5.5, 3, 2.5
5, 17, Niah, CiELzzz, 엘레강스, Defense, 17, 3, 3, 2, 1, 0, 0, 0, 0, 2, 38, れもんだもん, 48997782, ETC, 5.5, 3, 2.5
5, 17, Alonso, 鈴木リコリス, 디바인피스트, Defense, 17, 3, 3, 2, 1, 0, 0, 0, 1, 1, 27, sino1012, 48997782, ETC, 5.5, 3, 2.5
6, 16, Nicky, Honesty, 빙화현옥수, Defense, 16, 3, 3, 1, 2, 0, 0, 0, 0, 1, 24, thato, 48997782, Etranger, 4, 2, 2
6, 17, Fiora, wowaka, 알마스, Hunt, 17, 3, 3, 1, 2, 0, 0, 0, 2, 1, 69, 無双, 48997782, Etranger, 4, 2, 2
6, 17, Adela, 목련, 아르고스의눈, Hunt, 17, 3, 3, 1, 2, 0, 0, 0, 1, 2, 49, thato, 48997782, Etranger, 4, 2, 2
7, 15, Lenox, HeianKYO, 뇌룡편, Defense, 14, 2, 2, 1, 0, 0, 1, 0, 0, 2, 18, れもんだもん, 48997782, お調子前転部, 3, 1, 2
7, 16, Kenneth, 前ブリンクうまお, 파라슈, Defense, 15, 2, 2, 1, 0, 0, 1, 0, 0, 2, 33, voider26, 48997782, お調子前転部, 3, 1, 2
7, 15, Eva, マーカスの大胸筋, 소이탄, Defense, 15, 2, 2, 1, 0, 0, 1, 0, 2, 0, 33, sino1012, 48997782, お調子前転部, 3, 1, 2
8, 13, Adina, kumikuma, 더스타, Hunt, 13, 1, 1, 0, 1, 0, 0, 0, 0, 0, 42, マーカスの大胸筋, 48997782, Overtime, 0.5, 0, 0.5
8, 13, Rio, Efina, 편전, Defense, 13, 1, 1, 0, 1, 0, 0, 0, 1, 0, 28, 3y3s, 48997782, Overtime, 0.5, 0, 0.5
8, 14, Estelle, mistear, 빔엑스, Defense, 12, 1, 1, 0, 1, 0, 0, 0, 0, 0, 21, 無双, 48997782, Overtime, 0.5, 0, 0.5
