rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Adriana, 舞野, 아스트라페, Defense, 20, 10, 10, 4, 5, 36, , 46132384, 舞野組
1, 20, Jenny, とんとジェニー, 알타이르, Defense, 20, 10, 10, 5, 5, 54, , 46132384, 舞野組
1, 20, Elena, HeianKYO, 아르고스의눈, Defense, 19, 10, 10, 1, 6, 46, , 46132384, 舞野組
2, 20, Elena, 松マキサ, 미스틸테인, Defense, 20, 15, 15, 2, 8, 33, とんとジェニー, 46132384, 味方ガチャSSR
2, 20, Hisui, おにわ, 빛의검, Defense, 20, 15, 15, 2, 7, 18, とんとジェニー, 46132384, 味方ガチャSSR
2, 20, Rozzi, Day1week, 하이눈, Defense, 20, 15, 15, 11, 1, 67, 舞野, 46132384, 味方ガチャSSR
3, 20, Eleven, レイライン, 뿅망치, Defense, 19, 8, 8, 3, 2, 24, Day1week, 46132384, チクチク梅
3, 20, Hisui, 無双, 빛의검, Defense, 20, 8, 8, 3, 5, 69, Day1week, 46132384, チクチク梅
3, 20, Martina, ZEKURIP, 카메라캐논, Defense, 20, 8, 8, 2, 4, 52, 松マキサ, 46132384, チクチク梅
4, 20, Chiara, ハッピー天月, 아르고스의눈, Defense, 20, 16, 16, 6, 7, 61, おにわ, 46132384, Out of Control
4, 20, Bianca, みゅーき, 더문, Defense, 20, 16, 16, 6, 9, 54, ZEKURIP, 46132384, Out of Control
4, 20, Echion, い力, 블랙맘바킹-TL, Defense, 20, 16, 16, 4, 10, 46, Day1week, 46132384, Out of Control
5, 20, Aya, sino1012, 엘레강스, Defense, 19, 1, 1, 1, 0, 45, レイライン, 46132384, TBD
5, 18, Nicky, Hyouya, 아이언피스트, Defense, 17, 1, 1, 0, 1, 28, みゅーき, 46132384, TBD
5, 18, Adriana, れもんだもん, 체이서-새벽, Defense, 18, 1, 1, 0, 1, 25, い力, 46132384, TBD
6, 18, Irem, catsR, 소이탄, Defense, 17, 1, 1, 1, 0, 41, Day1week, 46132384, エステル世界2位ぶにゃ
6, 18, Priya, vaqlas, 헤븐즈도어, Defense, 17, 1, 1, 0, 1, 31, い力, 46132384, エステル世界2位ぶにゃ
6, 19, Piolo, voider26, 대소반룡곤, Defense, 17, 1, 1, 0, 1, 33, 舞野, 46132384, エステル世界2位ぶにゃ
7, 19, Luke, LegendOfLeague, 구원의여신상, Defense, 18, 7, 7, 2, 2, 54, 舞野, 46132384, 木公竹梅
7, 18, Aya, ふろれん, 가우스라이플, Defense, 18, 7, 7, 1, 1, 38, 無双, 46132384, 木公竹梅
7, 18, Darko, akihisa, 여의봉, Defense, 18, 7, 7, 4, 3, 35, とんとジェニー, 46132384, 木公竹梅
8, 18, Theodore, Prushka, 데드아이, Defense, 17, 3, 3, 1, 2, 33, ハッピー天月, 46132384, Toddler Gangster
8, 18, Bernice, Meltt, 안드로메다, Defense, 17, 3, 3, 2, 1, 52, ハッピー天月, 46132384, Toddler Gangster
8, 17, Alonso, ニッキーブレーク, 디바인피스트, Defense, 16, 3, 3, 0, 3, 11, みゅーき, 46132384, Toddler Gangster
