rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Darko, レヴナ, 여의봉, Defense, 19, 10, 10, 8, 2, 4, 5, 35, , 46581140, Toddler Ghost
1, 19, Elena, 冷害, 미스틸테인, Defense, 19, 10, 10, 8, 2, 1, 9, 51, , 46581140, Toddler Ghost
1, 20, Hart, CiELzzz, 하트 브레이커-진홍, Hunt, 20, 10, 10, 8, 2, 5, 4, 78, , 46581140, Toddler Ghost
2, 19, Eleven, ドンブレ, 뿅망치, Defense, 19, 10, 10, 7, 3, 2, 6, 25, CiELzzz, 46581140, 約束のネマーランド
2, 19, Celine, ymt, 체이서, Defense, 20, 10, 10, 7, 3, 4, 6, 45, CiELzzz, 46581140, 約束のネマーランド
2, 19, Eva, YoNeaKy, 체이서, Defense, 20, 10, 10, 7, 3, 4, 6, 61, CiELzzz, 46581140, 約束のネマーランド
3, 19, Darko, ぷれこーーーーる, 여의봉, Defense, 19, 10, 10, 9, 1, 7, 2, 36, YoNeaKy, 46581140, デギズマン
3, 19, Rozzi, upalupa, 하이눈, Defense, 20, 10, 10, 9, 1, 3, 6, 59, ドンブレ, 46581140, デギズマン
3, 19, Nicky, 鈴木リコリス, 빙화현옥수, Defense, 18, 10, 10, 9, 1, 0, 9, 39, ymt, 46581140, デギズマン
4, 19, Leon, sino1012, 빙화현옥수, Defense, 19, 5, 5, 2, 3, 1, 4, 72, ぷれこーーーーる, 46581140, エタリタ老人会
4, 18, Alonso, 統計情報局員, 디바인피스트, Defense, 18, 5, 5, 2, 3, 0, 4, 34, ぷれこーーーーる, 46581140, エタリタ老人会
4, 19, Katja, れもんだもん, 폴라리스, Defense, 20, 5, 5, 2, 3, 4, 1, 72, ぷれこーーーーる, 46581140, エタリタ老人会
5, 18, Irem, catsR, 점착폭탄, Defense, 17, 10, 10, 6, 4, 3, 7, 49, upalupa, 46581140, CR PlaZma
5, 17, Markus, taiga7810, 산타무에르떼, Defense, 17, 10, 10, 6, 4, 4, 3, 8, ぷれこーーーーる, 46581140, CR PlaZma
5, 17, Lenore, 一杯酒気, 헤븐즈도어, Defense, 18, 10, 10, 6, 4, 3, 5, 21, upalupa, 46581140, CR PlaZma
6, 17, Sua, 駅弁mk, 낭아봉, Defense, 16, 1, 1, 0, 1, 1, 0, 44, 一杯酒気, 46581140, ERN
6, 16, Luke, れぐるす, 여의봉, Defense, 15, 1, 1, 0, 1, 0, 1, 27, 一杯酒気, 46581140, ERN
6, 16, Garnet, Nacoty, 스파이의우산, Defense, 13, 1, 1, 0, 1, 0, 0, 20, taiga7810, 46581140, ERN
7, 16, Camilo, 混沌の闇ヤスオ, 디오스쿠로이, Defense, 15, 4, 4, 1, 3, 3, 0, 31, レヴナ, 46581140, 護鎖刃銃槍ガルホート
7, 15, Chloe, サーモン中西, 미치광이왕의카드, Defense, 15, 4, 4, 1, 3, 0, 3, 25, 冷害, 46581140, 護鎖刃銃槍ガルホート
7, 16, Hyunwoo, LORDofVERMILION, 주작자문, Defense, 15, 4, 4, 1, 3, 1, 0, 25, レヴナ, 46581140, 護鎖刃銃槍ガルホート
8, 13, Abigail, ヴィルヴィ, 스퀴테, Defense, 12, 5, 5, 0, 5, 3, 2, 25, taiga7810, 46581140, Slash Panzer
8, 14, Martina, Surfinia, 컴파운드사이트, Defense, 13, 5, 5, 0, 5, 1, 3, 15, catsR, 46581140, Slash Panzer
8, 14, Darko, Sucyone, 구원의여신상, Defense, 13, 5, 5, 0, 5, 1, 3, 21, taiga7810, 46581140, Slash Panzer
