rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Alonso, 統計情報局員, 디바인피스트, Defense, 19, 17, 17, 12, 5, 0, 12, 32, , 46579827, エタリタ老人会
1, 19, Katja, れもんだもん, 위도우메이커, Defense, 20, 17, 17, 12, 5, 10, 5, 72, , 46579827, エタリタ老人会
1, 20, Leon, sino1012, 프로스트팽, Defense, 20, 17, 17, 12, 5, 7, 9, 67, , 46579827, エタリタ老人会
2, 20, Elena, 冷害, 활빈검, Defense, 20, 13, 13, 9, 4, 2, 11, 34, sino1012, 46579827, Toddler Ghost
2, 20, Rozzi, CiELzzz, 하이눈, Defense, 20, 13, 13, 9, 4, 9, 1, 72, sino1012, 46579827, Toddler Ghost
2, 20, DebiMarlene, レヴナ, 레바테인, Defense, 20, 13, 13, 9, 4, 2, 9, 30, sino1012, 46579827, Toddler Ghost
3, 19, Luke, れぐるす, 여의봉, Defense, 19, 2, 2, 2, 0, 1, 0, 60, CiELzzz, 46579827, ERN
3, 19, Garnet, Nacoty, 스파이의우산, Defense, 19, 2, 2, 2, 0, 0, 2, 28, レヴナ, 46579827, ERN
3, 20, Barbara, 駅弁mk, 알타이르, Hunt, 20, 2, 2, 2, 0, 1, 1, 67, れもんだもん, 46579827, ERN
4, 19, Celine, ymt, 체이서, Defense, 19, 9, 9, 7, 2, 4, 4, 29, れもんだもん, 46579827, 約束のネマーランド
4, 18, Eleven, ドンブレ, 다그다의망치, Defense, 18, 9, 9, 7, 2, 1, 7, 21, れもんだもん, 46579827, 約束のネマーランド
4, 20, Eva, YoNeaKy, 체이서, Hunt, 20, 9, 9, 7, 2, 4, 5, 56, れもんだもん, 46579827, 約束のネマーランド
5, 18, William, ぷれこーーーーる, 체이서-진홍, Defense, 18, 1, 1, 1, 0, 1, 0, 39, ドンブレ, 46579827, デギズマン
5, 19, Vanya, 鈴木リコリス, 여제, Defense, 18, 1, 1, 1, 0, 0, 1, 58, ymt, 46579827, デギズマン
5, 17, Markus, upalupa, 반고부, Defense, 17, 1, 1, 1, 0, 0, 1, 27, ymt, 46579827, デギズマン
6, 17, Markus, taiga7810, 반고부, Defense, 17, 5, 5, 2, 3, 2, 2, 16, れもんだもん, 46579827, CR PlaZma
6, 16, Barbara, 一杯酒気, 엘레강스, Defense, 17, 5, 5, 2, 3, 1, 3, 37, れもんだもん, 46579827, CR PlaZma
6, 17, Irem, catsR, 점착폭탄, Defense, 17, 5, 5, 2, 3, 2, 3, 34, sino1012, 46579827, CR PlaZma
7, 16, Luke, Sucyone, 여의봉, Defense, 16, 1, 1, 1, 0, 0, 1, 34, CiELzzz, 46579827, Slash Panzer
7, 16, Elena, Surfinia, 레드팬서, Defense, 16, 1, 1, 1, 0, 1, 0, 17, CiELzzz, 46579827, Slash Panzer
7, 16, Abigail, ヴィルヴィ, 빔엑스, Defense, 16, 1, 1, 1, 0, 0, 1, 33, 冷害, 46579827, Slash Panzer
8, 13, Aiden, LORDofVERMILION, 모노호시자오, Defense, 12, 4, 4, 0, 4, 2, 1, 22, YoNeaKy, 46579827, 護鎖刃銃槍ガルホート
8, 14, Chloe, サーモン中西, 플레솃, Defense, 14, 4, 4, 0, 4, 1, 2, 27, CiELzzz, 46579827, 護鎖刃銃槍ガルホート
8, 14, Jan, 混沌の闇ヤスオ, 천잠장갑, Defense, 13, 4, 4, 0, 4, 1, 3, 36, YoNeaKy, 46579827, 護鎖刃銃槍ガルホート
