rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Hisui, ふーと, 빛의검, Defense, 20, 6, 7, 4, 0, 0, 2, 0, 3, 2, 67, , 48350142, 江多二亭, 16, 10, 6
1, 20, Sua, mystica, 둠스데이, Defense, 19, 6, 7, 4, 0, 0, 2, 0, 3, 2, 50, , 48350142, 江多二亭, 16, 10, 6
1, 20, Tia, suvarublend, 터럭손방망이, Defense, 19, 6, 7, 4, 0, 0, 2, 0, 0, 2, 33, , 48350142, 江多二亭, 16, 10, 6
2, 20, Hart, CiELzzz, 하트 브레이커-진홍, Defense, 20, 13, 13, 9, 2, 0, 2, 0, 6, 5, 80, ふーと, 48350142, Toddler Ghost, 19, 7, 12
2, 19, Priya, mukkoro, 헤븐즈도어, Defense, 19, 13, 13, 9, 2, 0, 2, 0, 5, 6, 55, ふーと, 48350142, Toddler Ghost, 19, 7, 12
2, 19, DebiMarlene, レヴナ, 레바테인, Defense, 18, 13, 13, 9, 2, 0, 2, 0, 2, 8, 27, mystica, 48350142, Toddler Ghost, 19, 7, 12
3, 20, Isaac, 照る坊主, 맨티스톤파, Defense, 19, 5, 5, 0, 2, 0, 3, 0, 2, 1, 53, , 48350142, J2K, 9, 5, 4
3, 20, Piolo, MaTfromDota2, 비익련리, Defense, 19, 5, 5, 0, 2, 0, 3, 0, 3, 2, 62, mukkoro, 48350142, J2K, 9, 5, 4
3, 20, Katja, ななしの, 인터벤션, Hunt, 19, 5, 5, 0, 2, 0, 3, 0, 0, 3, 67, CiELzzz, 48350142, J2K, 9, 5, 4
4, 19, Celine, さすらいぱんだ, 체이서, Defense, 19, 11, 11, 8, 2, 0, 1, 0, 3, 8, 50, CiELzzz, 48350142, Toddler Vivid, 14, 4, 10
4, 19, Rio, Pororoca, 페일노트-진홍, Defense, 19, 11, 11, 8, 2, 0, 1, 0, 4, 7, 55, レヴナ, 48350142, Toddler Vivid, 14, 4, 10
4, 18, Lenox, うぇびー, 캐소드라쉬, Defense, 18, 11, 11, 8, 2, 0, 1, 0, 4, 5, 13, mystica, 48350142, Toddler Vivid, 14, 4, 10
5, 17, Garnet, きまき, 마법봉, Defense, 16, 6, 6, 0, 3, 0, 3, 0, 4, 1, 25, さすらいぱんだ, 48350142, Brainstorm, 7.5, 3, 4.5
5, 17, DebiMarlene, syon1222, 레바테인, Defense, 16, 6, 6, 0, 3, 0, 3, 0, 1, 2, 48, うぇびー, 48350142, Brainstorm, 7.5, 3, 4.5
5, 17, Irem, Dato2, 아스트라페, Hunt, 17, 6, 6, 0, 3, 0, 3, 0, 1, 3, 68, うぇびー, 48350142, Brainstorm, 7.5, 3, 4.5
6, 15, Adriana, シユイ, 루테늄구슬, Defense, 14, 2, 2, 2, 0, 0, 0, 0, 0, 2, 45, CiELzzz, 48350142, 射出式, 4, 2, 2
6, 15, Garnet, Exaneko, 스파이의우산, Hunt, 14, 2, 2, 2, 0, 0, 0, 0, 0, 2, 44, mukkoro, 48350142, 射出式, 4, 2, 2
6, 15, Abigail, ヴィルヴィ, 네플리온, Defense, 14, 2, 2, 2, 0, 0, 0, 0, 2, 0, 42, mukkoro, 48350142, 射出式, 4, 2, 2
7, 15, Darko, Sitiyoh, 여의봉, Defense, 14, 6, 6, 2, 4, 0, 0, 0, 2, 3, 29, ヴィルヴィ, 48350142, ライディングフリー, 5, 1, 4
7, 15, Jan, C4storice, 택티컬톤파, Defense, 14, 6, 6, 2, 4, 0, 0, 0, 1, 4, 18, ヴィルヴィ, 48350142, ライディングフリー, 5, 1, 4
7, 14, Hyejin, YoNeaKy, 옥전결, Defense, 13, 6, 6, 2, 4, 0, 0, 0, 3, 1, 28, mukkoro, 48350142, ライディングフリー, 5, 1, 4
