rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 20, 6, 6, 6, 0, 4, 2, 67, , 46824713, The unseen blade
1, 20, Jan, 混沌の闇ヤスオ, 천잠장갑, Defense, 20, 6, 6, 6, 0, 1, 3, 76, , 46824713, The unseen blade
1, 20, Estelle, Sitiyoh, 빔엑스, Defense, 19, 6, 6, 6, 0, 1, 4, 46, , 46824713, The unseen blade
2, 19, Estelle, voider26, 진홍빛낫, Defense, 19, 15, 15, 9, 6, 4, 6, 37, ぷれこーーーーる, 46824713, Bunya
2, 19, Alex, えすみす, 미치광이왕의카드, Defense, 20, 15, 15, 9, 6, 8, 5, 57, Sitiyoh, 46824713, Bunya
2, 20, Hyejin, vaqlas, 페일노트, Defense, 20, 15, 15, 9, 6, 3, 11, 39, ぷれこーーーーる, 46824713, Bunya
3, 19, Lenox, 鈴木リコリス, 뇌룡편, Defense, 18, 3, 3, 1, 2, 1, 2, 13, えすみす, 46824713, 3月33日
3, 19, Eva, YoNeaKy, 소이탄, Defense, 19, 3, 3, 1, 2, 0, 3, 57, voider26, 46824713, 3月33日
3, 18, Sua, 駅弁mk, 팔괘장, Defense, 17, 3, 3, 1, 2, 2, 1, 34, voider26, 46824713, 3月33日
4, 19, Zahir, べんとりっく, 흑련비표, Defense, 20, 17, 17, 12, 5, 8, 7, 64, えすみす, 46824713, CROSSOVER
4, 20, Hisui, kemiko, 빛의검, Defense, 20, 17, 17, 12, 5, 6, 9, 45, えすみす, 46824713, CROSSOVER
4, 19, Lyanh, thato, 프라가라흐, Defense, 19, 17, 17, 12, 5, 3, 11, 52, 駅弁mk, 46824713, CROSSOVER
5, 19, Estelle, レイライン, 빔엑스, Defense, 18, 11, 11, 6, 5, 0, 11, 13, べんとりっく, 46824713, チクチク梅
5, 20, Hisui, 無双, 빛의검, Defense, 20, 11, 11, 6, 5, 6, 3, 67, kemiko, 46824713, チクチク梅
5, 19, Katja, ZEKURIP, 위도우메이커, Defense, 20, 11, 11, 6, 5, 5, 6, 54, kemiko, 46824713, チクチク梅
6, 17, Sissela, MaTfromDota2, 생사부, Defense, 17, 3, 3, 1, 2, 2, 1, 36, べんとりっく, 46824713, Black King Bar
6, 17, Martina, LORDofVERMILION, 온 에어, Defense, 17, 3, 3, 1, 2, 1, 2, 35, kemiko, 46824713, Black King Bar
6, 17, Alonso, HeianKYO, 디바인피스트, Defense, 15, 3, 3, 1, 2, 0, 3, 19, thato, 46824713, Black King Bar
7, 17, Eleven, 곽성군, 천근추, Defense, 14, 5, 5, 1, 4, 0, 5, 10, thato, 46824713, Rage0day
7, 17, Katja, HYEINSEO, 폴라리스, Defense, 17, 5, 5, 1, 4, 4, 1, 24, 無双, 46824713, Rage0day
7, 17, Aiden, SEOHYEIN, 빛의검, Defense, 16, 5, 5, 1, 4, 1, 3, 35, ZEKURIP, 46824713, Rage0day
8, 14, Leon, TKDNdecoy, 흑요석짓테, Defense, 13, 1, 1, 1, 0, 0, 1, 27, kemiko, 46824713, 佃煮の台湾付け
8, 14, Estelle, sukopi, 빔엑스, Defense, 12, 1, 1, 1, 0, 0, 1, 26, べんとりっく, 46824713, 佃煮の台湾付け
8, 15, Chiara, かっと, 레드팬서, Defense, 13, 1, 1, 1, 0, 1, 0, 43, べんとりっく, 46824713, 佃煮の台湾付け
