rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Hart, Pororoca, 하트 브레이커-진홍, Defense, 20, 16, 16, 6, 8, 60, , 45931791, Toddler Vivid
1, 20, Mai, yasuoぼっと, 캐소드라쉬, Defense, 19, 16, 16, 1, 10, 18, , 45931791, Toddler Vivid
1, 20, Tia, うぇびー, 터럭손방망이, Defense, 20, 16, 16, 9, 5, 58, , 45931791, Toddler Vivid
2, 20, Elena, 冷害, 레드팬서, Defense, 19, 4, 4, 0, 3, 35, うぇびー, 45931791, Toddler Ghost
2, 20, Darko, レヴナ, 여의봉, Defense, 19, 4, 4, 4, 0, 37, うぇびー, 45931791, Toddler Ghost
2, 20, Hart, CiELzzz, 원더풀투나잇, Defense, 19, 4, 4, 0, 3, 62, うぇびー, 45931791, Toddler Ghost
3, 20, William, ぷれこーーーーる, 체이서-진홍, Defense, 19, 5, 5, 1, 4, 40, うぇびー, 45931791, TRANSAM
3, 20, Jan, 混沌の闇ヤスオ, 천잠장갑, Defense, 20, 5, 5, 3, 2, 57, Pororoca, 45931791, TRANSAM
3, 20, Eva, YoNeaKy, 체이서, Defense, 20, 5, 5, 1, 3, 43, Pororoca, 45931791, TRANSAM
4, 20, Alex, たまこん, 홀스터톤파, Defense, 19, 8, 8, 5, 3, 34, Pororoca, 45931791, たかし
4, 19, Eleven, レイ様, 천근추, Defense, 18, 8, 8, 2, 3, 27, Pororoca, 45931791, たかし
4, 20, YuMin, お豆腐の匠, 여제, Hunt, 20, 8, 8, 1, 6, 60, yasuoぼっと, 45931791, たかし
5, 19, Celine, PuffingCat, 여의주, Defense, 19, 3, 3, 1, 1, 64, 混沌の闇ヤスオ, 45931791, インペリアルマンモス
5, 19, Bernice, spadeokayu, 폴라리스, Defense, 18, 3, 3, 2, 0, 61, 混沌の闇ヤスオ, 45931791, インペリアルマンモス
5, 19, Garnet, MERCURYCUBE, 스파이의우산, Defense, 17, 3, 3, 0, 2, 22, 混沌の闇ヤスオ, 45931791, インペリアルマンモス
6, 17, Leni, berryrabbit, 마탄의사수, Defense, 17, 3, 3, 1, 2, 17, PuffingCat, 45931791, Marine Delight
6, 18, Hyunwoo, おぼろづき米, 주작자문, Defense, 17, 3, 3, 0, 3, 24, たまこん, 45931791, Marine Delight
6, 18, Lyanh, デスガキ, 소울리퍼, Defense, 18, 3, 3, 2, 1, 57, spadeokayu, 45931791, Marine Delight
7, 17, Barbara, rosen, 엘레강스, Defense, 17, 1, 1, 0, 1, 37, レヴナ, 45931791, †神縫合†
7, 16, Jenny, kawaiiOTP, 알타이르, Defense, 16, 1, 1, 1, 0, 29, デスガキ, 45931791, †神縫合†
7, 17, Garnet, HeianKYO, 스파이의우산, Defense, 16, 1, 1, 0, 1, 46, berryrabbit, 45931791, †神縫合†
8, 8, Shoichi, Balro, 하이랜더더크, Defense, 5, 0, 0, 0, 0, 5, うぇびー, 45931791, 馬耳豆腐
8, 9, Lenox, アルペジオ, 글레이프니르, Defense, 5, 0, 0, 0, 0, 6, うぇびー, 45931791, 馬耳豆腐
8, 8, Rio, Twitchotouhuuu, 편전, Defense, 5, 0, 0, 0, 0, 3, うぇびー, 45931791, 馬耳豆腐
