rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Celine, ymt, 체이서, Defense, 20, 12, 12, 6, 6, 40, , 46130845, 伝説の中西
1, 20, Leon, エラン, 프로스트팽, Defense, 20, 12, 12, 3, 8, 30, , 46130845, 伝説の中西
1, 20, Piolo, MaTfromDota2, 게리온, Defense, 20, 12, 12, 3, 6, 45, , 46130845, 伝説の中西
2, 20, Emma, 灯油, 건곤권, Defense, 19, 7, 7, 2, 3, 46, ymt, 46130845, NotBeingAll
2, 20, Mai, upalupa, 글레이프니르, Defense, 19, 7, 7, 0, 5, 30, エラン, 46130845, NotBeingAll
2, 20, Tsubame, sLLLime, 흑련비표-진홍, Defense, 20, 7, 7, 5, 2, 67, エラン, 46130845, NotBeingAll
3, 19, Magnus, RIKE, 낭아봉, Defense, 18, 4, 4, 0, 3, 27, MaTfromDota2, 46130845, Hide and Escape
3, 19, Sissela, 漁夫カルマ, 생사부, Defense, 19, 4, 4, 3, 1, 45, sLLLime, 46130845, Hide and Escape
3, 20, Haze, マーカスの大胸筋, 골드러시, Defense, 20, 4, 4, 1, 3, 67, sLLLime, 46130845, Hide and Escape
4, 18, Priya, じゃっきーらぶ, 헤븐즈도어, Defense, 18, 9, 9, 2, 5, 32, OISIIPROTEIN, 46130845, 聖帝十字陵
4, 20, Markus, sukopi, 반고부, Defense, 19, 9, 9, 3, 6, 39, ymt, 46130845, 聖帝十字陵
4, 19, YuMin, 駅弁mk, 여제, Defense, 19, 9, 9, 4, 5, 58, ymt, 46130845, 聖帝十字陵
5, 18, YuMin, salt97, 여제, Defense, 18, 5, 5, 1, 4, 36, sLLLime, 46130845, ほーんてっどまんしょん
5, 19, Elena, 冷害, 레드팬서, Defense, 18, 5, 5, 1, 4, 20, 灯油, 46130845, ほーんてっどまんしょん
5, 19, Chiara, OISIIPROTEIN, 레드팬서, Defense, 18, 5, 5, 3, 2, 36, sukopi, 46130845, ほーんてっどまんしょん
6, 18, Priya, DEKABIGUNO, 헤븐즈도어, Defense, 18, 3, 3, 0, 3, 43, マーカスの大胸筋, 46130845, ジャンボ
6, 19, Isol, warrick, 엔데버AX, Defense, 18, 3, 3, 2, 1, 39, 漁夫カルマ, 46130845, ジャンボ
6, 19, Garnet, minagawa, 스파이의우산, Defense, 17, 3, 3, 1, 2, 22, 漁夫カルマ, 46130845, ジャンボ
7, 17, YuMin, お豆腐の匠, 더스타, Defense, 17, 6, 6, 3, 3, 47, ymt, 46130845, たかし
7, 17, Alex, たまこん, 홀스터톤파, Defense, 16, 6, 6, 3, 3, 27, ymt, 46130845, たかし
7, 16, Eleven, レイ様, 천근추, Defense, 15, 6, 6, 0, 5, 16, ymt, 46130845, たかし
8, 10, Lenox, コメダの泥水, 뇌룡편, Defense, 7, 0, 0, 0, 0, 5, たまこん, 46130845, Rage Soeleil
8, 10, Tia, saimina, 팔괘장, Defense, 6, 0, 0, 0, 0, 12, お豆腐の匠, 46130845, Rage Soeleil
8, 10, Celine, たまご, 루테늄구슬, Defense, 7, 0, 0, 0, 0, 17, たまこん, 46130845, Rage Soeleil
