rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Xiukai, RIKE, 파산검, Defense, 19, 8, 8, 2, 4, 23, , 46129256, Hide and Escape
1, 20, Hisui, 漁夫カルマ, 빛의검, Defense, 20, 8, 8, 3, 4, 54, , 46129256, Hide and Escape
1, 20, Justyna, マーカスの大胸筋, 혈색반월-새벽, Hunt, 20, 8, 8, 3, 4, 74, , 46129256, Hide and Escape
2, 20, YuMin, お豆腐の匠, 더 데스-새벽, Defense, 20, 14, 14, 4, 9, 58, 漁夫カルマ, 46129256, たかし
2, 20, Alex, たまこん, 일렉트론블라스터, Defense, 20, 14, 14, 6, 7, 42, マーカスの大胸筋, 46129256, たかし
2, 20, Eleven, レイ様, 천근추, Defense, 20, 14, 14, 4, 10, 27, RIKE, 46129256, たかし
3, 20, Mai, upalupa, 글레이프니르, Defense, 19, 9, 9, 0, 8, 24, たまこん, 46129256, NotBeingAll
3, 20, Tsubame, sLLLime, 만천화우, Defense, 20, 9, 9, 6, 3, 51, お豆腐の匠, 46129256, NotBeingAll
3, 20, Emma, 灯油, 건곤권, Defense, 19, 9, 9, 3, 4, 44, お豆腐の匠, 46129256, NotBeingAll
4, 19, Priya, じゃっきーらぶ, 헤븐즈도어, Defense, 19, 4, 4, 0, 4, 44, sLLLime, 46129256, 聖帝十字陵
4, 19, Markus, sukopi, 반고부, Defense, 19, 4, 4, 3, 1, 22, sLLLime, 46129256, 聖帝十字陵
4, 20, Jenny, 駅弁mk, 알타이르, Defense, 19, 4, 4, 1, 3, 21, 灯油, 46129256, 聖帝十字陵
5, 20, Garnet, minagawa, 스파이의우산, Defense, 20, 8, 8, 2, 4, 27, たまこん, 46129256, ジャンボ
5, 20, Arda, DEKABIGUNO, 더문, Defense, 20, 8, 8, 6, 2, 85, レイ様, 46129256, ジャンボ
5, 20, Isol, warrick, 하이눈, Defense, 20, 8, 8, 0, 8, 65, レイ様, 46129256, ジャンボ
6, 19, Leon, エラン, 빙화현옥수, Defense, 19, 5, 5, 1, 3, 22, 灯油, 46129256, 伝説の中西
6, 19, Celine, ymt, 체이서, Defense, 19, 5, 5, 2, 2, 53, DEKABIGUNO, 46129256, 伝説の中西
6, 19, Piolo, MaTfromDota2, 대소반룡곤, Defense, 19, 5, 5, 2, 3, 40, DEKABIGUNO, 46129256, 伝説の中西
7, 19, Elena, 冷害, 레드팬서, Defense, 18, 2, 2, 1, 1, 20, 灯油, 46129256, ほーんてっどまんしょん
7, 19, Arda, OISIIPROTEIN, 더문, Defense, 19, 2, 2, 1, 1, 46, sukopi, 46129256, ほーんてっどまんしょん
7, 19, Kenneth, salt97, 반고부, Defense, 18, 2, 2, 0, 2, 33, sukopi, 46129256, ほーんてっどまんしょん
8, 16, Lenox, コメダの泥水, 뇌룡편, Defense, 14, 0, 0, 0, 0, 21, 漁夫カルマ, 46129256, Rage Soeleil
8, 15, Arda, saimina, 더문, Defense, 15, 0, 0, 0, 0, 15, たまこん, 46129256, Rage Soeleil
8, 16, Celine, たまご, 여의주, Defense, 16, 0, 0, 0, 0, 31, マーカスの大胸筋, 46129256, Rage Soeleil
