rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Sua, シセラガチ恋勢, 아는것이힘, Defense, 18, 5, 5, 2, 2, 39, , 45842067, プリプリ☆ゴリラ
1, 20, Priya, odyuuka, 헤븐즈도어, Defense, 20, 5, 5, 3, 2, 37, , 45842067, プリプリ☆ゴリラ
1, 20, Laura, ぽんちゃんさん, 우라누스, Defense, 19, 5, 5, 0, 5, 32, , 45842067, プリプリ☆ゴリラ
2, 19, Magnus, 責任, 둠스데이, Defense, 19, 9, 9, 2, 5, 24, シセラガチ恋勢, 45842067, 真実の刃
2, 20, Alonso, サトツ, 블러디 핸즈-새벽, Defense, 20, 9, 9, 2, 6, 36, odyuuka, 45842067, 真実の刃
2, 20, Xiukai, ワイザム, 파산검, Defense, 19, 9, 9, 5, 4, 43, odyuuka, 45842067, 真実の刃
3, 19, Garnet, ROURYUJP, 팔괘장, Defense, 19, 4, 4, 3, 0, 25, サトツ, 45842067, 面バリ固ポークマシマシCC濃いめ
3, 19, Sissela, ebisetizum, 흑련비표-새벽, Defense, 19, 4, 4, 0, 1, 38, odyuuka, 45842067, 面バリ固ポークマシマシCC濃いめ
3, 19, Arda, kiliel, 운명의수레바퀴, Defense, 19, 4, 4, 1, 3, 46, 責任, 45842067, 面バリ固ポークマシマシCC濃いめ
4, 19, Yuki, 雪華ゆきあ, 엑스칼리버, Defense, 17, 6, 6, 3, 3, 23, ワイザム, 45842067, ちーぎゅっ
4, 18, Aya, ゆいり, 엔데버AX, Defense, 18, 6, 6, 3, 3, 40, kuroha, 45842067, ちーぎゅっ
4, 17, Vanya, ギュードン, 여제, Defense, 16, 6, 6, 0, 5, 30, Fetch, 45842067, ちーぎゅっ
5, 18, Piolo, レン82, 비익련리, Defense, 17, 1, 1, 1, 0, 32, kuroha, 45842067, KDA
5, 18, Justyna, 青波花蓮, 팬텀 볼트, Defense, 18, 1, 1, 0, 1, 60, ゆいり, 45842067, KDA
5, 18, Eleven, Kakyo, 천근추, Defense, 17, 1, 1, 0, 1, 24, ROURYUJP, 45842067, KDA
6, 19, Echion, 氷雪いろは, 슈퍼사이드와인더, Defense, 19, 6, 6, 1, 3, 45, サトツ, 45842067, Coquette
6, 20, DebiMarlene, Fetch, 레바테인, Defense, 20, 6, 6, 3, 3, 38, kiliel, 45842067, Coquette
6, 19, Bianca, kuroha, 운명의수레바퀴, Defense, 19, 6, 6, 2, 4, 29, ROURYUJP, 45842067, Coquette
7, 18, Haze, ひのはな, 발키리, Defense, 18, 5, 5, 0, 5, 46, ワイザム, 45842067, ルミネスター
7, 18, Mai, Mimoria, 뇌룡편, Defense, 16, 5, 5, 1, 3, 9, 責任, 45842067, ルミネスター
7, 17, Rio, lafu77, 적궁백시, Defense, 17, 5, 5, 4, 1, 22, ワイザム, 45842067, ルミネスター
8, 17, Garnet, Game860, 스파이의우산, Defense, 16, 1, 1, 0, 0, 27, 雪華ゆきあ, 45842067, しらすOverdrive
8, 18, Kenneth, たゆた, 반고부, Hunt, 17, 1, 1, 0, 1, 80, ゆいり, 45842067, しらすOverdrive
8, 18, Chiara, かめちゃ, 아르고스의눈, Defense, 16, 1, 1, 1, 0, 31, ゆいり, 45842067, しらすOverdrive
