rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Adina, kur1ch4n, 더문, Defense, 20, 10, 10, 7, 3, 51, , 45845485, たぬき組
1, 20, Alonso, DJremushin, 아이언피스트, Defense, 19, 10, 10, 2, 7, 22, , 45845485, たぬき組
1, 20, Chloe, PYP, 수다르사나, Defense, 19, 10, 10, 1, 7, 54, , 45845485, たぬき組
2, 20, Arda, uzakiron, 더문, Defense, 20, 6, 6, 4, 2, 74, DJremushin, 45845485, ジャンボ
2, 20, Isol, warrick, 알타이르, Defense, 20, 6, 6, 0, 6, 43, kur1ch4n, 45845485, ジャンボ
2, 20, Garnet, minagawa, 스파이의우산, Defense, 19, 6, 6, 2, 4, 33, kur1ch4n, 45845485, ジャンボ
3, 20, Abigail, newtora, 네플리온, Defense, 20, 10, 10, 4, 4, 46, WheatDog, 45845485, MHW
3, 20, Garnet, xKarin, 스파이의우산, Defense, 19, 10, 10, 4, 3, 29, minagawa, 45845485, MHW
3, 20, Barbara, PJSURF, 하이눈, Defense, 19, 10, 10, 2, 4, 43, kur1ch4n, 45845485, MHW
4, 20, Laura, ANDyukkuri, 우라누스, Defense, 19, 5, 5, 1, 3, 53, xKarin, 45845485, ランクマランダムピック連打部
4, 20, Magnus, WheatDog, 둠스데이, Defense, 19, 5, 5, 3, 1, 37, uzakiron, 45845485, ランクマランダムピック連打部
4, 20, Piolo, たにし, 비익련리, Defense, 20, 5, 5, 1, 2, 72, xKarin, 45845485, ランクマランダムピック連打部
5, 18, Jan, 花巻タコス, 윈드러너, Defense, 17, 2, 2, 0, 1, 27, kur1ch4n, 45845485, 悪の3兵器
5, 19, Echion, スマートパイラー, 데스애더퀸-MT, Defense, 19, 2, 2, 1, 1, 59, DJremushin, 45845485, 悪の3兵器
5, 18, LiDailin, 二寸法師, 천잠장갑, Defense, 17, 2, 2, 1, 0, 40, minagawa, 45845485, 悪の3兵器
6, 17, Vanya, SSPotato, 여제, Defense, 16, 4, 4, 2, 2, 36, PYP, 45845485, シャルティメットストーム
6, 17, Piolo, ここかな, 비익련리, Defense, 15, 4, 4, 2, 2, 44, kur1ch4n, 45845485, シャルティメットストーム
6, 17, Charlotte, 義妹シャーロット, 절제, Defense, 13, 4, 4, 0, 4, 5, スマートパイラー, 45845485, シャルティメットストーム
7, 17, Hart, 神代レイ, 프리버드, Defense, 16, 0, 0, 0, 0, 47, xKarin, 45845485, 亜空間タックル
7, 16, Elena, 香深, 레드팬서, Defense, 15, 0, 0, 0, 0, 18, newtora, 45845485, 亜空間タックル
7, 16, Xiukai, rauz, 코스믹바이던트, Defense, 15, 0, 0, 0, 0, 19, newtora, 45845485, 亜空間タックル
