rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Arda, uzakiron, 더 데스-진홍, Defense, 20, 19, 19, 6, 11, 59, , 45847103, ジャンボ
1, 20, Garnet, minagawa, 로드오브하트, Defense, 20, 19, 19, 8, 11, 43, , 45847103, ジャンボ
1, 20, Isol, warrick, 하이눈, Defense, 20, 19, 19, 5, 12, 51, , 45847103, ジャンボ
2, 20, Vanya, SSPotato, 여제, Defense, 19, 8, 8, 2, 4, 35, minagawa, 45847103, シャルティメットストーム
2, 20, Charlotte, 義妹シャーロット, 절제, Defense, 17, 8, 8, 2, 4, 14, warrick, 45847103, シャルティメットストーム
2, 20, Piolo, ここかな, 비익련리, Defense, 19, 8, 8, 4, 3, 35, uzakiron, 45847103, シャルティメットストーム
3, 19, Darko, rauz, 여의봉, Defense, 18, 2, 2, 1, 1, 35, uzakiron, 45847103, 亜空間タックル
3, 19, Hart, 神代レイ, 틴스피릿, Defense, 18, 2, 2, 0, 2, 39, minagawa, 45847103, 亜空間タックル
3, 19, Elena, 香深, 레드팬서, Defense, 18, 2, 2, 1, 0, 20, uzakiron, 45847103, 亜空間タックル
4, 20, Piolo, たにし, 비익련리, Defense, 19, 5, 5, 4, 1, 57, ここかな, 45847103, ランクマランダムピック連打部
4, 19, Yuki, ANDyukkuri, 빛의검, Defense, 18, 5, 5, 1, 3, 20, ここかな, 45847103, ランクマランダムピック連打部
4, 19, Leon, WheatDog, 프로스트팽, Defense, 18, 5, 5, 0, 5, 40, ここかな, 45847103, ランクマランダムピック連打部
5, 19, Alonso, DJremushin, 디바인피스트, Defense, 19, 4, 4, 2, 2, 25, 香深, 45847103, たぬき組
5, 18, Chloe, PYP, 수다르사나, Defense, 18, 4, 4, 1, 2, 59, 義妹シャーロット, 45847103, たぬき組
5, 19, Adina, kur1ch4n, 더문, Hunt, 19, 4, 4, 1, 2, 70, PJSURF, 45847103, たぬき組
6, 18, Garnet, xKarin, 스파이의우산, Defense, 16, 3, 3, 0, 2, 33, uzakiron, 45847103, MHW
6, 19, Barbara, PJSURF, 엘레강스, Defense, 18, 3, 3, 2, 1, 32, DJremushin, 45847103, MHW
6, 18, Abigail, newtora, 네플리온, Defense, 17, 3, 3, 1, 1, 38, warrick, 45847103, MHW
7, 19, Jan, 花巻タコス, 윈드러너, Defense, 18, 2, 2, 0, 2, 36, minagawa, 45847103, 悪の3兵器
7, 19, LiDailin, 二寸法師, 천잠장갑, Defense, 19, 2, 2, 2, 0, 38, minagawa, 45847103, 悪の3兵器
7, 19, Jackie, スマートパイラー, 자웅일대검, Defense, 18, 2, 2, 0, 1, 47, warrick, 45847103, 悪の3兵器
