rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Sissela, かとかい, 아스트라페, Defense, 20, 11, 11, 2, 7, 62, , 46221325, Toddler Gangster
1, 20, Rio, Meltt, 페일노트-진홍, Defense, 20, 11, 11, 6, 4, 71, , 46221325, Toddler Gangster
1, 20, Lenox, ニッキーブレーク, 글레이프니르, Defense, 20, 11, 11, 3, 6, 16, , 46221325, Toddler Gangster
2, 20, Chiara, ハッピー天月, 아르고스의눈, Defense, 20, 6, 6, 2, 4, 55, Meltt, 46221325, Out of Control
2, 20, Bianca, みゅーき, 더 데스-진홍, Defense, 20, 6, 6, 2, 4, 70, Meltt, 46221325, Out of Control
2, 20, Echion, い力, 블랙맘바킹-TL, Defense, 20, 6, 6, 2, 4, 49, Meltt, 46221325, Out of Control
3, 20, Charlotte, CappuChino, 더썬, Defense, 19, 7, 7, 0, 7, 14, かとかい, 46221325, Forsen
3, 20, Nicky, Tnsh, 아이언피스트, Defense, 20, 7, 7, 4, 3, 59, かとかい, 46221325, Forsen
3, 20, Hart, Alek, 하트 브레이커-진홍, Defense, 20, 7, 7, 3, 4, 79, ニッキーブレーク, 46221325, Forsen
4, 19, Estelle, voider26, 빔엑스, Defense, 18, 3, 3, 0, 3, 28, Tnsh, 46221325, ぶにゃ
4, 20, Irem, catsR, 소이탄, Defense, 19, 3, 3, 1, 1, 67, Tnsh, 46221325, ぶにゃ
4, 19, Jackie, えすみす, 간장과막야, Defense, 18, 3, 3, 2, 1, 45, Tnsh, 46221325, ぶにゃ
5, 18, Sua, 駅弁mk, 아는것이힘, Defense, 17, 0, 0, 0, 0, 42, い力, 46221325, 聖帝十字陵
5, 17, Estelle, sukopi, 스퀴테, Defense, 17, 0, 0, 0, 0, 21, い力, 46221325, 聖帝十字陵
5, 17, Bernice, peporen, 폴라리스, Defense, 17, 0, 0, 0, 0, 35, みゅーき, 46221325, 聖帝十字陵
6, 10, Hyunwoo, 松マキサ, 브레이질건틀릿, Defense, 7, 4, 4, 0, 3, 11, Alek, 46221325, 松竹梅
6, 10, Leni, LegendOfLeague, 스탬피드, Defense, 8, 4, 4, 0, 3, 11, Alek, 46221325, 松竹梅
6, 10, Kenneth, akihisa, 하르페, Defense, 8, 4, 4, 4, 0, 11, Alek, 46221325, 松竹梅
7, 10, Elena, HeianKYO, 레드팬서, Defense, 5, 1, 1, 0, 0, 13, ニッキーブレーク, 46221325, 舞野組
7, 10, Jenny, とんとジェニー, 매그넘-보아, Defense, 7, 1, 1, 1, 0, 9, ニッキーブレーク, 46221325, 舞野組
7, 9, Adriana, 舞野, 루테늄구슬, Defense, 6, 1, 1, 0, 1, 9, Meltt, 46221325, 舞野組
8, 9, Charlotte, れもんだもん, 절제, Defense, 5, 1, 1, 0, 1, 5, akihisa, 46221325, TBD
8, 9, Vanya, sino1012, 더스타, Defense, 6, 1, 1, 1, 0, 4, akihisa, 46221325, TBD
8, 9, Bernice, Hyouya, 폴라리스, Defense, 6, 1, 1, 0, 1, 13, akihisa, 46221325, TBD
