rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Estelle, みゅーき, 낙원의낫, Defense, 20, 15, 15, 2, 10, 46, , 46227202, Out of Control
1, 20, Lyanh, thato, 비색단검, Defense, 20, 15, 15, 6, 7, 65, , 46227202, Out of Control
1, 20, Hart, ハッピー天月, 하트 브레이커-진홍, Defense, 20, 15, 15, 7, 5, 48, , 46227202, Out of Control
2, 20, Priya, vaqlas, 헤븐즈도어, Defense, 19, 4, 4, 1, 3, 41, ハッピー天月, 46227202, ぶにゃ
2, 20, Darko, voider26, 로드 오브 하트-진홍, Defense, 19, 4, 4, 2, 1, 35, thato, 46227202, ぶにゃ
2, 20, Bernice, えすみす, 위도우 메이커-진홍, Defense, 20, 4, 4, 1, 2, 94, LegendOfLeague, 46227202, ぶにゃ
3, 20, Bernice, 松マキサ, 안드로메다, Defense, 20, 9, 9, 6, 3, 65, voider26, 46227202, 松竹梅
3, 20, YuMin, akihisa, 여제, Defense, 20, 9, 9, 2, 6, 46, thato, 46227202, 松竹梅
3, 20, Mai, LegendOfLeague, 사복검, Defense, 19, 9, 9, 1, 8, 17, みゅーき, 46227202, 松竹梅
4, 19, Alonso, ニッキーブレーク, 디바인피스트, Defense, 18, 4, 4, 1, 3, 11, ハッピー天月, 46227202, Toddler Gangster
4, 20, Theodore, Prushka, 데드아이, Defense, 18, 4, 4, 0, 3, 34, 松マキサ, 46227202, Toddler Gangster
4, 20, Bernice, Meltt, 폴라리스, Defense, 19, 4, 4, 3, 1, 69, thato, 46227202, Toddler Gangster
5, 19, Zahir, 駅弁mk, 빙백은침, Defense, 18, 3, 3, 2, 1, 44, thato, 46227202, 聖帝十字陵
5, 16, Priya, じゃっきーらぶ, 퍼플헤이즈, Defense, 14, 3, 3, 0, 3, 25, ハッピー天月, 46227202, 聖帝十字陵
5, 18, Markus, sukopi, 산타무에르떼, Defense, 16, 3, 3, 1, 1, 19, ハッピー天月, 46227202, 聖帝十字陵
6, 17, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 17, 13, 13, 4, 7, 21, 松マキサ, 46227202, TBD
6, 18, Echion, sino1012, 블랙맘바킹-TL, Defense, 17, 13, 13, 2, 10, 17, 松マキサ, 46227202, TBD
6, 17, LiDailin, Hyouya, 단영촌천투, Defense, 16, 13, 13, 7, 6, 30, akihisa, 46227202, TBD
7, 16, Irem, 舞野, 점착폭탄, Defense, 16, 2, 2, 0, 2, 38, Hyouya, 46227202, 舞野組
7, 17, Aya, とんとジェニー, 엔데버AX, Defense, 17, 2, 2, 1, 1, 46, Hyouya, 46227202, 舞野組
7, 17, Garnet, HeianKYO, 스파이의우산, Defense, 15, 2, 2, 1, 0, 53, 松マキサ, 46227202, 舞野組
8, 15, Katja, Alek, 폴라리스, Defense, 15, 4, 4, 3, 1, 26, ハッピー天月, 46227202, Forsen
8, 14, Adina, Gyoo, 더스타, Defense, 14, 4, 4, 1, 3, 13, ニッキーブレーク, 46227202, Forsen
8, 14, Xiukai, Tnsh, 트리아이나, Defense, 13, 4, 4, 0, 3, 12, みゅーき, 46227202, Forsen
