rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Markus, LegendOfLeague, 반고부, Defense, 20, 14, 15, 7, 7, 38, , 46224399, 松竹梅
1, 20, Bernice, 松マキサ, 위도우 메이커-진홍, Defense, 20, 14, 15, 5, 5, 64, , 46224399, 松竹梅
1, 20, Darko, akihisa, 여의봉, Defense, 20, 14, 15, 2, 10, 42, , 46224399, 松竹梅
2, 20, Mai, みゅーき, 글레이프니르, Defense, 20, 12, 12, 1, 9, 44, LegendOfLeague, 46224399, Out of Control
2, 20, Hyejin, thato, 생사부, Defense, 20, 12, 12, 6, 6, 46, LegendOfLeague, 46224399, Out of Control
2, 20, Rio, ハッピー天月, 적궁백시, Defense, 20, 12, 12, 5, 6, 71, LegendOfLeague, 46224399, Out of Control
3, 20, Garnet, Tnsh, 스파이의우산, Defense, 20, 14, 14, 1, 8, 26, ハッピー天月, 46224399, Forsen
3, 20, Adriana, Gyoo, 체이서-새벽, Defense, 20, 14, 14, 3, 9, 46, , 46224399, Forsen
3, 20, Chloe, Alek, 흑련비표-진홍, Defense, 20, 14, 14, 10, 4, 61, ハッピー天月, 46224399, Forsen
4, 19, Garnet, HeianKYO, 스파이의우산, Defense, 18, 2, 2, 1, 1, 34, LegendOfLeague, 46224399, 舞野組
4, 20, Kenneth, 舞野, 저거너트, Defense, 19, 2, 2, 0, 1, 37, Alek, 46224399, 舞野組
4, 20, Theodore, とんとジェニー, 데드아이, Defense, 19, 2, 2, 1, 0, 63, Alek, 46224399, 舞野組
5, 19, Darko, voider26, 여의봉, Defense, 19, 7, 7, 2, 5, 11, Gyoo, 46224399, ぶにゃ
5, 20, Bernice, えすみす, 안드로메다, Defense, 20, 7, 7, 5, 2, 55, Alek, 46224399, ぶにゃ
5, 19, Priya, vaqlas, 헤븐즈도어, Defense, 19, 7, 7, 0, 6, 23, Gyoo, 46224399, ぶにゃ
6, 19, LiDailin, Hyouya, 천잠장갑, Defense, 19, 9, 9, 6, 2, 57, voider26, 46224399, TBD
6, 19, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 19, 9, 9, 3, 4, 57, えすみす, 46224399, TBD
6, 19, Elena, sino1012, 활빈검, Defense, 19, 9, 9, 0, 8, 11, LegendOfLeague, 46224399, TBD
7, 16, Lenore, かとかい, 퍼플헤이즈, Defense, 17, 2, 2, 2, 0, 49, 松マキサ, 46224399, Toddler Gangster
7, 17, Estelle, ニッキーブレーク, 빔엑스, Defense, 15, 2, 2, 0, 2, 16, 松マキサ, 46224399, Toddler Gangster
7, 16, Nadine, Meltt, 대황, Defense, 16, 2, 2, 0, 2, 45, akihisa, 46224399, Toddler Gangster
8, 11, Eva, 駅弁mk, 소이탄, Defense, 11, 2, 2, 2, 0, 36, thato, 46224399, 聖帝十字陵
8, 11, Aya, peporen, 아그니, Defense, 8, 2, 2, 0, 1, 10, Hyouya, 46224399, 聖帝十字陵
8, 10, Alonso, sukopi, 디바인피스트, Defense, 8, 2, 2, 0, 2, 6, Hyouya, 46224399, 聖帝十字陵
