rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Jenny, とんとジェニー, 하이 눈-진홍, Defense, 20, 6, 6, 6, 0, 78, , 46228934, 舞野組
1, 20, Adriana, 舞野, 아스트라페, Defense, 20, 6, 6, 0, 4, 67, , 46228934, 舞野組
1, 20, Elena, HeianKYO, 아르고스의눈, Defense, 20, 6, 6, 0, 6, 43, , 46228934, 舞野組
2, 20, Magnus, LegendOfLeague, 피스브링어, Defense, 19, 18, 18, 1, 14, 21, とんとジェニー, 46228934, 松竹梅
2, 20, Piolo, 松マキサ, 비익련리, Defense, 19, 18, 18, 6, 9, 42, とんとジェニー, 46228934, 松竹梅
2, 20, Hisui, akihisa, 빛의검, Defense, 20, 18, 18, 11, 6, 68, とんとジェニー, 46228934, 松竹梅
3, 20, Katja, えすみす, 안드로메다, Hunt, 20, 2, 2, 0, 2, 61, 松マキサ, 46228934, ぶにゃ
3, 19, Alonso, voider26, 디바인피스트, Defense, 18, 2, 2, 0, 2, 9, とんとジェニー, 46228934, ぶにゃ
3, 20, Hyejin, vaqlas, 아르기로톡소스, Defense, 19, 2, 2, 2, 0, 68, とんとジェニー, 46228934, ぶにゃ
4, 20, Arda, Prushka, 더문, Defense, 20, 11, 11, 7, 4, 58, akihisa, 46228934, Toddler Gangster
4, 19, Alonso, ニッキーブレーク, 아이언피스트, Defense, 18, 11, 11, 2, 8, 21, akihisa, 46228934, Toddler Gangster
4, 20, Tsubame, Meltt, 만천화우, Defense, 19, 11, 11, 2, 8, 45, LegendOfLeague, 46228934, Toddler Gangster
5, 19, Kenneth, Hyouya, 반고부, Defense, 18, 5, 5, 2, 0, 43, とんとジェニー, 46228934, TBD
5, 20, Tsubame, れもんだもん, 만천화우, Defense, 18, 5, 5, 1, 3, 38, akihisa, 46228934, TBD
5, 19, Echion, sino1012, 블랙맘바킹-TL, Defense, 18, 5, 5, 2, 2, 20, vaqlas, 46228934, TBD
6, 15, Rio, ハッピー天月, 트윈보우, Defense, 15, 0, 0, 0, 0, 31, akihisa, 46228934, Out of Control
6, 15, Mai, みゅーき, 글레이프니르, Defense, 14, 0, 0, 0, 0, 26, 松マキサ, 46228934, Out of Control
6, 15, Hyejin, thato, 옥전결, Hunt, 15, 0, 0, 0, 0, 47, 松マキサ, 46228934, Out of Control
7, 10, Priya, じゃっきーらぶ, 퍼플헤이즈, Defense, 9, 1, 1, 0, 1, 26, Hyouya, 46228934, 聖帝十字陵
7, 10, Markus, sukopi, 산타무에르떼, Defense, 6, 1, 1, 0, 1, 5, vaqlas, 46228934, 聖帝十字陵
7, 10, YuMin, 駅弁mk, 운명의수레바퀴, Defense, 8, 1, 1, 1, 0, 23, sino1012, 46228934, 聖帝十字陵
8, 8, Markus, Tnsh, 산타무에르떼, Defense, 5, 3, 3, 1, 1, 2, akihisa, 46228934, Forsen
8, 8, Nathapon, Alek, 미러리스, Defense, 5, 3, 3, 1, 1, 6, 松マキサ, 46228934, Forsen
8, 8, Barbara, Gyoo, 엘레강스, Defense, 6, 3, 3, 1, 2, 7, sino1012, 46228934, Forsen
