rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Adela, かとかい, 노스페라투-새벽, Defense, 20, 17, 17, 13, 4, 6, 10, 63, , 47147854, Toddler Gangster
1, 19, Sua, うぇびー, 피스브링어-새벽, Defense, 20, 17, 17, 13, 4, 9, 8, 40, , 47147854, Toddler Gangster
1, 19, Nicky, ニッキーブレーク, 아이언피스트, Defense, 19, 17, 17, 13, 4, 2, 13, 12, , 47147854, Toddler Gangster
2, 20, LiDailin, レイライン, 주작자문, Defense, 19, 16, 16, 7, 9, 2, 10, 24, かとかい, 47147854, チクチク梅
2, 20, Hisui, 無双, 빛의검, Defense, 20, 16, 16, 7, 9, 6, 7, 65, ニッキーブレーク, 47147854, チクチク梅
2, 20, Chloe, ZEKURIP, 수다르사나, Defense, 20, 16, 16, 7, 9, 8, 5, 38, sino1012, 47147854, チクチク梅
3, 19, Estelle, voider26, 낙원의낫, Defense, 18, 6, 6, 4, 2, 0, 6, 35, ZEKURIP, 47147854, エステル同好会
3, 19, Leon, sino1012, 프로스트팽, Defense, 19, 6, 6, 4, 2, 6, 0, 42, うぇびー, 47147854, エステル同好会
3, 19, Rozzi, れもんだもん, 악켈테, Hunt, 19, 6, 6, 4, 2, 0, 5, 60, 無双, 47147854, エステル同好会
4, 19, Vanya, 冷害, 더문, Defense, 19, 3, 3, 1, 2, 3, 0, 50, うぇびー, 47147854, Toddler Ghost
4, 18, Leni, mukkoro, 스탬피드, Defense, 17, 3, 3, 1, 2, 0, 3, 18, 無双, 47147854, Toddler Ghost
4, 18, DebiMarlene, レヴナ, 레바테인, Defense, 17, 3, 3, 1, 2, 0, 2, 24, かとかい, 47147854, Toddler Ghost
5, 16, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 16, 1, 1, 0, 1, 0, 1, 43, レイライン, 47147854, TRANSAM
5, 17, Jan, 混沌の闇ヤスオ, 단영촌천투, Defense, 16, 1, 1, 0, 1, 0, 1, 44, 無双, 47147854, TRANSAM
5, 17, Hyejin, YoNeaKy, 옥전결, Defense, 17, 1, 1, 0, 1, 1, 0, 34, 無双, 47147854, TRANSAM
6, 18, Lyanh, thato, 소울리퍼, Defense, 19, 11, 11, 4, 7, 6, 5, 49, うぇびー, 47147854, Out of Control
6, 17, Leni, みゅーき, 스탬피드, Defense, 17, 11, 11, 4, 7, 2, 9, 20, かとかい, 47147854, Out of Control
6, 18, Jackie, ハッピー天月, 반고부, Defense, 18, 11, 11, 4, 7, 3, 5, 44, うぇびー, 47147854, Out of Control
7, 15, Xiukai, catsR, 파산검, Defense, 14, 0, 0, 0, 0, 0, 0, 12, うぇびー, 47147854, tekitou
7, 16, Katja, WeNeedaHero, 안드로메다, Defense, 15, 0, 0, 0, 0, 0, 0, 48, かとかい, 47147854, tekitou
7, 16, Alex, BLUNA, 모노호시자오, Defense, 15, 0, 0, 0, 0, 0, 0, 47, かとかい, 47147854, tekitou
8, 15, Chloe, sLLLime, 수다르사나, Defense, 14, 4, 4, 0, 4, 2, 1, 37, ハッピー天月, 47147854, NotBeingAll
8, 14, Emma, 灯油, 건곤권, Defense, 14, 4, 4, 0, 4, 1, 2, 34, ハッピー天月, 47147854, NotBeingAll
8, 15, Celine, たまねぎ2nd, 루테늄구슬, Defense, 15, 4, 4, 0, 4, 1, 1, 42, thato, 47147854, NotBeingAll
